,0None,1None,2None,6None,4None,3None,5None
Delete,0.0,0.0,0.0,0.0,1.0001514921986783,0.0,0.0
ScienceDirect,0.0,0.0,0.0,1.0001943727446396,0.0,0.0,0.0
TextSummary,0.0,0.0,1.000350754121361,0.0,0.0,0.0,0.0
MoodleConsumer,0.0,0.0,0.0,1.0002919281856664,0.0,0.0,0.0
LastAnnotation,0.0,0.0,1.0005125576627372,0.0,0.0,0.0,0.0
Manual,0.0,1.0158839192493572,0.0,0.0,0.0,0.0,0.0
Assessing,0.0,0.0,0.0,0.0,0.0,1.0008326394671108,0.0
HTML,1.0378548895899051,0.0,0.0,0.0,0.0,0.0,0.0
Update,0.0,0.0,0.0,0.0,1.0001680389850445,0.0,0.0
Hypothesis,0.0,0.0,0.0,1.0000418102349196,0.0,0.0,0.0
AnnotationServer,0.0,1.0000507297594297,0.0,0.0,0.0,0.0,0.0
Hierarchy,0.0,1.0000229047952243,0.0,0.0,0.0,0.0,0.0
MoodleReport,0.0,0.5211055445019228,0.0,1.000253944890548,0.0,0.0,0.0
MoodleResource,0.0,0.0,0.0,1.0001377261152489,0.0,0.0,0.5954898221423967
Selector,0.0,0.0,0.0,0.0,1.000127985523543,0.4216302232765839,0.0
DOI,0.0,0.0,0.0,1.2010646196515358,0.0,0.0,0.0
Categorize,0.0,0.0,0.0,0.0,0.0,1.000384467512495,0.0
ExportCodebook,0.0,1.1126216737819195,0.0,0.0,0.0,0.0,0.0
Springer,0.0,0.0,0.3929906961585056,1.0002401087126016,0.0,0.0,0.0
Canvas,0.0,0.0,1.0005260389268806,0.0,0.0,0.0,0.0
UserFilter,0.0,0.0,0.0,0.0,1.0000660022440764,0.0,0.0
Commenting,0.0,0.0,0.0,0.0,1.0003685787654526,0.9914310697408251,0.0
CodebookDelete,0.0,1.0000602391494233,0.0,0.0,0.0,0.0,0.0
MoodleComment,0.0,0.0,0.0,1.001972284849458,0.0,0.6505289459652546,0.670850321846749
SidebarNavigation,0.0,1.000130741636326,0.0,0.0,0.0,0.0,0.0
MoodleProvider,0.0,0.0,0.0,1.0000082456885355,0.0,0.0,0.0
ImportAnnotations,0.0,0.0,1.0000870774466435,0.0,0.0,0.0,0.0
Alphabetical,1.1025641025641035,0.0,0.0,0.0,0.0,0.0,0.0
DeleteAll,0.0,0.38413134635778595,0.30204455235328004,0.0,1.0001685164799832,0.0,0.0
Remote,0.0,0.0,0.0,1.0007585383666169,0.0,0.0,0.0
JSON,0.0,0.0,1.000165261940175,0.0,0.0,0.0,0.0
ApplicationBased,0.0,1.2692844017876652,0.0,0.0,0.0,0.0,0.0
URL,0.0,0.0,0.0,1.0079681274900407,0.0,0.0,0.0
URN,0.0,0.0,1.0001999600080231,0.0,0.0,0.0,0.0
TXT,0.0,0.0,0.0,1.0015598464587148,0.0,0.36836341417077534,0.0
Autocomplete,0.0,0.8969586964588054,0.0,0.0,0.0,1.0430798860552162,0.0
GoogleSheetProvider,0.0,0.0,0.0,1.0000214007443575,0.0,0.0,0.0
PreviousAssignments,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Codebook,0.0,2.024723456524854,0.0,0.0,0.0,0.0,0.0
PDF,1.7057794574757068,0.0,0.0,0.0,0.0,0.0,0.0
Number,1.0479360852197084,0.0,0.0,0.0,0.0,0.0,0.0
AnnotatedPDF,0.0,0.0,1.0000840265523905,0.0,0.0,0.0,0.0
SentimentAnalysis,0.0,0.0,0.0,0.0,0.0,1.0003388681802778,0.0
Create,0.0,0.0,0.0,0.0,1.0001587049674654,0.0,0.0
GoogleSheetConsumer,0.0,0.0,0.0,1.0000387214187527,0.0,0.0,0.0
CodebookUpdate,0.0,1.1214708478939879,0.0,0.0,0.0,0.0,0.0
Export,0.0,0.8730644051973419,1.0014936717744796,0.0,0.0,0.0,0.0
BrowserStorage,0.0,1.000091528991808,0.0,0.0,0.0,0.0,0.0
Dropbox,0.0,0.0,0.0,1.0003477656059814,0.0,0.0,0.0
BuiltIn,0.0,2.0391906457450673,0.0,0.0,0.0,0.0,0.0
Classifying,0.0,1.0002281467267438,0.0,0.0,0.0,0.6858815449630311,0.0
Replying,0.0,0.0,0.0,0.0,1.000061359236025,0.0,0.0
ACM,0.0,0.0,0.660206370548468,1.0003422047553434,0.0,0.0,0.0
Date,1.0657273160711138,0.37662211993383315,0.0,0.0,0.0,0.0,0.0
AnnotationList,1.0230379287757272,0.0,0.9537443486748435,0.0,0.0,0.0,0.0
Neo4J,1.003355199495604,0.0,0.0,0.0,0.0,0.0,0.0
RenameCodebook,0.0,1.0000620135809744,0.0,0.0,0.0,0.0,0.0
SuggestedLiterature,0.0,0.0,0.0,0.0,0.0,1.0001242081728978,0.0
Multivalued,0.0,1.000070881753284,0.0,0.0,0.0,0.0,0.0
ImportCodebook,0.0,1.5256444682959693,0.9830688021900821,0.0,0.0,0.0,0.0
