QueryProject,0,1,2,3,4,5,6,7,8,9
CodeBook,"(0.3164430456897868, 'ImportCodebook')","(0.6891234991148093, 'Delete')","(0.6891808522190443, 'Create')","(0.6893706935426095, 'Commenting')","(0.6901557253279104, 'PreviousAssignments')","(0.6902598960095638, 'DeleteAll')","(0.6906769660875609, 'ImportAnnotations')","(0.6914795285136296, 'RenameCodebook')","(0.6915188912240462, 'CodebookDelete')","(1, 'CodeBook')"
CodebookDelete,"(4.5259766313724486e-07, 'RenameCodebook')","(0.6897227063262882, 'Delete')","(0.6897725296503368, 'Create')","(0.6899369002584966, 'Commenting')","(0.6906235757907968, 'PreviousAssignments')","(0.6906960181812369, 'DeleteAll')","(0.6910469153347872, 'ImportAnnotations')","(0.6915188912240462, 'CodeBook')","(0.6915196447173109, 'ImportCodebook')","(1, 'CodebookDelete')"
Commenting,"(0.5445995980729391, 'PreviousAssignments')","(0.6846576958822084, 'Delete')","(0.6847855476098605, 'Create')","(0.6872238145872593, 'DeleteAll')","(0.6881571796005952, 'ImportAnnotations')","(0.6889940225195494, 'ImportCodebook')","(0.6893706935426095, 'CodeBook')","(0.6898583402581325, 'RenameCodebook')","(0.6899369002584966, 'CodebookDelete')","(1, 'Commenting')"
Create,"(1.2793049592869545e-06, 'Delete')","(0.0004323405561416976, 'DeleteAll')","(0.6847855476098605, 'Commenting')","(0.6863884994573923, 'PreviousAssignments')","(0.6879061859079383, 'ImportAnnotations')","(0.6887468836174575, 'ImportCodebook')","(0.6891808522190443, 'CodeBook')","(0.6896905670067384, 'RenameCodebook')","(0.6897725296503368, 'CodebookDelete')","(1, 'Create')"
Delete,"(1.2793049592869545e-06, 'Create')","(0.00047998718199262276, 'DeleteAll')","(0.6846576958822084, 'Commenting')","(0.6862807322149072, 'PreviousAssignments')","(0.6878306696373517, 'ImportAnnotations')","(0.6886715077910004, 'ImportCodebook')","(0.6891234991148093, 'CodeBook')","(0.6896397390424915, 'RenameCodebook')","(0.6897227063262882, 'CodebookDelete')","(1, 'Delete')"
DeleteAll,"(0.0004323405561416976, 'Create')","(0.00047998718199262276, 'Delete')","(0.6872238145872593, 'Commenting')","(0.6884034427776309, 'PreviousAssignments')","(0.6893505954879223, 'ImportAnnotations')","(0.690100391877117, 'ImportCodebook')","(0.6902598960095638, 'CodeBook')","(0.6906349628836099, 'RenameCodebook')","(0.6906960181812369, 'CodebookDelete')","(1, 'DeleteAll')"
RenameCodebook,"(4.5259766313724486e-07, 'CodebookDelete')","(0.6896397390424915, 'Delete')","(0.6896905670067384, 'Create')","(0.6898583402581325, 'Commenting')","(0.690558371331059, 'PreviousAssignments')","(0.6906349628836099, 'DeleteAll')","(0.6909948714701797, 'ImportAnnotations')","(0.6914776279787034, 'ImportCodebook')","(0.6914795285136296, 'CodeBook')","(1, 'RenameCodebook')"
ImportAnnotations,"(0.6878306696373517, 'Delete')","(0.6879061859079383, 'Create')","(0.6881571796005952, 'Commenting')","(0.6891637474250826, 'PreviousAssignments')","(0.6893505954879223, 'DeleteAll')","(0.6905890421701478, 'ImportCodebook')","(0.6906769660875609, 'CodeBook')","(0.6909948714701797, 'RenameCodebook')","(0.6910469153347872, 'CodebookDelete')","(1, 'ImportAnnotations')"
ImportCodebook,"(0.15357358334196608, 'PreviousAssignments')","(0.3164430456897868, 'CodeBook')","(0.6886715077910004, 'Delete')","(0.6887468836174575, 'Create')","(0.6889940225195494, 'Commenting')","(0.690100391877117, 'DeleteAll')","(0.6905890421701478, 'ImportAnnotations')","(0.6914776279787034, 'RenameCodebook')","(0.6915196447173109, 'CodebookDelete')","(1, 'ImportCodebook')"
PreviousAssignments,"(0.15357358334196608, 'ImportCodebook')","(0.5445995980729391, 'Commenting')","(0.6862807322149072, 'Delete')","(0.6863884994573923, 'Create')","(0.6884034427776309, 'DeleteAll')","(0.6891637474250826, 'ImportAnnotations')","(0.6901557253279104, 'CodeBook')","(0.690558371331059, 'RenameCodebook')","(0.6906235757907968, 'CodebookDelete')","(1, 'PreviousAssignments')"
