,Cat Num,Cat Name
0,1,1None
1,0,0None
2,1,1None
3,1,1None
4,1,1None
5,2,2None
6,1,1None
7,1,1None
8,1,1None
9,0,0None
10,1,1None
11,1,1None
12,1,1None
13,0,0None
14,1,1None
15,4,4None
16,1,1None
17,3,3None
18,4,4None
19,1,1None
20,1,1None
21,1,1None
22,1,1None
23,1,1None
24,1,1None
25,1,1None
26,1,1None
27,1,1None
28,1,1None
29,1,1None
30,1,1None
31,1,1None
32,1,1None
33,1,1None
34,1,1None
35,1,1None
36,1,1None
37,1,1None
38,0,0None
39,1,1None
40,1,1None
41,0,0None
42,5,5None
43,1,1None
44,1,1None
45,1,1None
46,1,1None
47,0,0None
48,2,2None
49,3,3None
