QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Delete,"(1.663910899063481e-07, 'UserFilter')","(0.11503606898473384, 'DeleteAll')","(0.8575601814525311, 'Selector')","(0.8601854883092468, 'Replying')","(0.8623434285947973, 'Autocomplete')","(0.8953952781513067, 'Remote')","(0.9140989299470902, 'SidebarNavigation')","(0.9749696909589477, 'CodebookDelete')","(0.980734961030713, 'Hierarchy')","(0.9965106715493889, 'URL')","(0.9965276789371329, 'Alphabetical')","(0.9971481593463098, 'Hypothesis')","(0.9980352137947537, 'Date')","(0.9985143391720774, 'Number')","(0.9987183729976624, 'TXT')","(0.9987298805132796, 'Export')","(0.9987962880864405, 'HTML')","(0.9991363641367483, 'Assessing')","(0.9992058721005257, 'PDF')","(0.9992691054848891, 'TextSummary')","(0.999293705320151, 'Canvas')","(0.9993143466259705, 'SentimentAnalysis')","(0.9993518716201782, 'LastAnnotation')","(0.9993527368665465, 'AnnotationList')","(0.9994603660547496, 'MoodleComment')","(0.9994902238934903, 'Dropbox')","(0.9995138698999231, 'Categorize')","(0.9996080405563654, 'JSON')","(0.9996537431494703, 'URN')","(0.9996729075043449, 'Neo4J')","(0.9996764037687701, 'ImportCodebook')","(0.9996847559090023, 'MoodleReport')","(0.9996872958857035, 'Commenting')","(0.9997085864245373, 'DOI')","(0.9997092725960027, 'Classifying')","(0.9997129400659959, 'Codebook')","(0.999717173521924, 'MoodleConsumer')","(0.9997182560820367, 'ScienceDirect')","(0.9997248314725623, 'ImportAnnotations')","(0.9997428750064798, 'SuggestedLiterature')","(0.9997528750456012, 'ACM')","(0.9997715357821304, 'Springer')","(0.9997722234432698, 'AnnotatedPDF')","(0.9997773474345791, 'PreviousAssignments')","(0.999788154328652, 'ExportCodebook')","(0.999806114115163, 'BrowserStorage')","(0.9998085381252741, 'BuiltIn')","(0.9998089224021521, 'Multivalued')","(0.9998139109778452, 'MoodleResource')","(0.9998174537859496, 'AnnotationServer')","(0.9998196124083073, 'Manual')","(0.9998253028564704, 'RenameCodebook')","(0.9998302293304273, 'GoogleSheetProvider')","(0.9998306698695005, 'CodebookUpdate')","(0.9998318792182428, 'GoogleSheetConsumer')","(0.9998345228683291, 'ApplicationBased')","(0.9998510689551035, 'MoodleProvider')","(1, 'Create')","(1, 'Delete')","(1, 'Update')"
ScienceDirect,"(0.0037228809716850497, 'DOI')","(0.018520466108855715, 'ACM')","(0.01852524479919504, 'Springer')","(0.041599495172601864, 'PreviousAssignments')","(0.06790972025256448, 'Dropbox')","(0.7615401826427015, 'Autocomplete')","(0.830209243909525, 'AnnotationServer')","(0.8364640322709341, 'Remote')","(0.8378631386711524, 'Hypothesis')","(0.8460572857171423, 'Neo4J')","(0.9097766240677976, 'URL')","(0.9294840284711803, 'Canvas')","(0.9315615062695196, 'TextSummary')","(0.9576071251574954, 'TXT')","(0.9739422916376783, 'Manual')","(0.9823184488716137, 'GoogleSheetProvider')","(0.9953337794224294, 'BrowserStorage')","(0.9958006909999424, 'Alphabetical')","(0.9976757748281767, 'Date')","(0.9982425516403101, 'Number')","(0.9985383607431657, 'Export')","(0.998590777165073, 'HTML')","(0.9988125161663461, 'SuggestedLiterature')","(0.9990107931446952, 'Assessing')","(0.9990966399350069, 'PDF')","(0.9992662346348582, 'SentimentAnalysis')","(0.9992769586406027, 'LastAnnotation')","(0.9993073187014743, 'AnnotationList')","(0.99941095612573, 'MoodleComment')","(0.9994770367405248, 'Categorize')","(0.9996138313957535, 'JSON')","(0.9996497889527368, 'URN')","(0.9996599344680459, 'DeleteAll')","(0.9996912286698084, 'Commenting')","(0.9996962824856356, 'Update')","(0.9997156062831042, 'Create')","(0.9997182560820367, 'Delete')","(0.9997265053624284, 'MoodleReport')","(0.9997281294061348, 'MoodleConsumer')","(0.9997424946160016, 'ImportCodebook')","(0.9997501598210305, 'Classifying')","(0.9997571319760996, 'Selector')","(0.9997600007406455, 'ImportAnnotations')","(0.9997678787409273, 'Codebook')","(0.9997961194692042, 'AnnotatedPDF')","(0.9998066667473674, 'SidebarNavigation')","(0.9998085132973803, 'Replying')","(0.9998207458134529, 'UserFilter')","(0.9998349527625238, 'ExportCodebook')","(0.9998473717371206, 'Multivalued')","(0.9998476061492995, 'MoodleResource')","(0.9998533208110338, 'BuiltIn')","(0.9998600855505878, 'CodebookDelete')","(0.9998616758219072, 'RenameCodebook')","(0.9998718501208279, 'GoogleSheetConsumer')","(0.9998730631047694, 'ApplicationBased')","(0.9998756372398193, 'Hierarchy')","(0.9998762378159015, 'CodebookUpdate')","(0.9998934985408512, 'MoodleProvider')","(1, 'ScienceDirect')"
TextSummary,"(0.10267972375949719, 'Canvas')","(0.10534732111837974, 'LastAnnotation')","(0.10559925495898215, 'AnnotatedPDF')","(0.24211002487957556, 'AnnotationList')","(0.5627103901876715, 'URN')","(0.6609636840871604, 'JSON')","(0.6815647522895095, 'Dropbox')","(0.6915543089981011, 'TXT')","(0.7443953344638243, 'DeleteAll')","(0.8065122904853548, 'MoodleReport')","(0.8252583044153183, 'ImportAnnotations')","(0.8998201295767897, 'SentimentAnalysis')","(0.9262319503506912, 'PreviousAssignments')","(0.9304052692558343, 'ACM')","(0.9304319708668833, 'Springer')","(0.9310232653350151, 'DOI')","(0.9315615062695196, 'ScienceDirect')","(0.94843610080257, 'Export')","(0.9564061982673516, 'ImportCodebook')","(0.9720412414819878, 'MoodleComment')","(0.9725619082060002, 'MoodleResource')","(0.9754357073087935, 'GoogleSheetConsumer')","(0.9765682286492395, 'Autocomplete')","(0.9846300752736169, 'Alphabetical')","(0.9898194741269548, 'ExportCodebook')","(0.9904127984777972, 'Codebook')","(0.9944724818168913, 'URL')","(0.996305073075426, 'BuiltIn')","(0.9966636679069579, 'Date')","(0.9966829215756617, 'Remote')","(0.9972543678606607, 'Multivalued')","(0.9974772533077344, 'Number')","(0.9979000785555256, 'HTML')","(0.9984100757846041, 'Assessing')","(0.9985143140508774, 'PDF')","(0.998698789268098, 'Manual')","(0.99897620665199, 'Categorize')","(0.9990868227691099, 'Neo4J')","(0.9991482447552177, 'Classifying')","(0.9992134222888357, 'Hypothesis')","(0.9992218239251061, 'Selector')","(0.9992362876103008, 'Commenting')","(0.9992424241754341, 'Update')","(0.9992658879818939, 'Create')","(0.9992691054848891, 'Delete')","(0.9992810941122107, 'MoodleConsumer')","(0.9993022379211027, 'SidebarNavigation')","(0.9993164173694956, 'SuggestedLiterature')","(0.9993282324187208, 'Replying')","(0.9993935531135902, 'UserFilter')","(0.999396635903714, 'AnnotationServer')","(0.9994068116557756, 'BrowserStorage')","(0.9994211030765925, 'CodebookUpdate')","(0.9994219385669497, 'GoogleSheetProvider')","(0.9994255167484596, 'Hierarchy')","(0.9994317777480759, 'CodebookDelete')","(0.9994432522017788, 'RenameCodebook')","(0.9994570791650935, 'ApplicationBased')","(0.9994818928167827, 'MoodleProvider')","(1, 'TextSummary')"
MoodleConsumer,"(4.331896075182584e-07, 'MoodleProvider')","(0.5094991411217726, 'TXT')","(0.52030613729428, 'SentimentAnalysis')","(0.5751971813448318, 'Neo4J')","(0.9151197957366184, 'Dropbox')","(0.9291772368469458, 'Hypothesis')","(0.9965198738816574, 'URL')","(0.9965380766932235, 'Alphabetical')","(0.998046383580529, 'Date')","(0.998522785135672, 'Number')","(0.9987412588189242, 'Export')","(0.9988046274937459, 'HTML')","(0.9991445749796105, 'Assessing')","(0.9992140566607457, 'PDF')","(0.9992810941122107, 'TextSummary')","(0.999302396614414, 'Canvas')","(0.9993600009684543, 'LastAnnotation')","(0.9993638481377997, 'AnnotationList')","(0.9994198074956039, 'Remote')","(0.9994684543689414, 'MoodleComment')","(0.999503092424655, 'Autocomplete')","(0.999521937976575, 'Categorize')","(0.9996181589566995, 'JSON')","(0.9996404889891758, 'DeleteAll')","(0.9996617583146696, 'URN')","(0.9996909995392691, 'ImportCodebook')","(0.9996952983574173, 'Commenting')","(0.9996966703608638, 'MoodleReport')","(0.9996993887619691, 'Update')","(0.9997150288552951, 'Create')","(0.999717173521924, 'Delete')","(0.9997181648915804, 'DOI')","(0.9997205032434642, 'Classifying')","(0.9997255121758749, 'Codebook')","(0.9997281294061348, 'ScienceDirect')","(0.9997351017095647, 'ImportAnnotations')","(0.9997353226310252, 'Selector')","(0.9997509425897065, 'SuggestedLiterature')","(0.9997608527065317, 'ACM')","(0.9997782707282565, 'SidebarNavigation')","(0.9997795063827826, 'Springer')","(0.9997801937837433, 'AnnotatedPDF')","(0.9997831126585347, 'Replying')","(0.9997869832854969, 'PreviousAssignments')","(0.9997980691423811, 'ExportCodebook')","(0.9998001256013692, 'UserFilter')","(0.9998142766217947, 'BrowserStorage')","(0.999817482281837, 'Multivalued')","(0.9998177521646802, 'BuiltIn')","(0.9998218655453748, 'MoodleResource')","(0.9998263390450577, 'AnnotationServer')","(0.9998287311299999, 'Manual')","(0.999830621045477, 'CodebookDelete')","(0.9998332531136405, 'RenameCodebook')","(0.9998389454288733, 'GoogleSheetProvider')","(0.9998394258202609, 'CodebookUpdate')","(0.9998396645176787, 'Hierarchy')","(0.9998400359163506, 'GoogleSheetConsumer')","(0.9998424696368753, 'ApplicationBased')","(1, 'MoodleConsumer')"
LastAnnotation,"(4.269484272234614e-06, 'AnnotatedPDF')","(0.0025309063792936515, 'Canvas')","(0.10534732111837974, 'TextSummary')","(0.1529195322496948, 'AnnotationList')","(0.6834896211804753, 'JSON')","(0.7143919488281156, 'DeleteAll')","(0.758298477705216, 'Dropbox')","(0.8104851587272931, 'MoodleReport')","(0.8687970796940154, 'ImportAnnotations')","(0.8883976591240003, 'SentimentAnalysis')","(0.9726196601045491, 'GoogleSheetConsumer')","(0.9960629515335486, 'Alphabetical')","(0.996099374891185, 'URL')","(0.9975359749923719, 'Date')","(0.9979469856277086, 'TXT')","(0.9981368428668665, 'Number')","(0.9982213195056936, 'Export')","(0.9984235535344477, 'HTML')","(0.998769374831617, 'Assessing')","(0.9988068998694293, 'Autocomplete')","(0.9988400573057811, 'PDF')","(0.9989030493588178, 'Remote')","(0.9990240318849115, 'ImportCodebook')","(0.9990988522721379, 'MoodleComment')","(0.9991510176556923, 'Codebook')","(0.9991532604861324, 'Categorize')","(0.9991620954570863, 'Neo4J')","(0.999207308236252, 'Classifying')","(0.9992450072004636, 'Hypothesis')","(0.9992769586406027, 'ScienceDirect')","(0.9992804679515869, 'DOI')","(0.9992827446086353, 'Selector')","(0.9992954982260809, 'URN')","(0.9993296182048232, 'Commenting')","(0.9993337793373058, 'Update')","(0.9993450022464894, 'ExportCodebook')","(0.9993452227903761, 'SidebarNavigation')","(0.9993466639137287, 'PreviousAssignments')","(0.9993496898690265, 'Create')","(0.9993518716201782, 'Delete')","(0.9993600009684543, 'MoodleConsumer')","(0.9993721671268467, 'Replying')","(0.9993822869245766, 'SuggestedLiterature')","(0.9993963061012554, 'ACM')","(0.9993967078051269, 'BuiltIn')","(0.9994120423743701, 'Manual')","(0.9994152823453053, 'Springer')","(0.9994203186080762, 'AnnotationServer')","(0.9994263304319955, 'Multivalued')","(0.9994362581277944, 'UserFilter')","(0.9994393142332381, 'CodebookUpdate')","(0.9994406549212689, 'GoogleSheetProvider')","(0.9994412831350283, 'BrowserStorage')","(0.9994443246008795, 'Hierarchy')","(0.9994583740242019, 'MoodleResource')","(0.9994584340325767, 'CodebookDelete')","(0.9994699585228329, 'RenameCodebook')","(0.9994793344332251, 'ApplicationBased')","(0.9994961602966606, 'MoodleProvider')","(1, 'LastAnnotation')"
Manual,"(0.005710507382105212, 'RenameCodebook')","(0.006018187327365476, 'CodebookDelete')","(0.022786002076252587, 'ExportCodebook')","(0.4303468238141046, 'ImportCodebook')","(0.6335661100842174, 'DeleteAll')","(0.8052794530614942, 'Neo4J')","(0.8088971583204971, 'TXT')","(0.8922586637599349, 'CodebookUpdate')","(0.895493873696472, 'Hypothesis')","(0.9028850870205812, 'Codebook')","(0.9067617112484164, 'AnnotationServer')","(0.9100401142250734, 'Remote')","(0.9503132794952801, 'ApplicationBased')","(0.9507078387302589, 'BuiltIn')","(0.9698332162777795, 'PreviousAssignments')","(0.9739422916376783, 'ScienceDirect')","(0.976811348554626, 'DOI')","(0.9898275212751156, 'ACM')","(0.9898486200220733, 'Springer')","(0.9903274637459166, 'GoogleSheetProvider')","(0.9903580510663845, 'Dropbox')","(0.9961711386487249, 'URL')","(0.9962136089797596, 'Alphabetical')","(0.9972691601842246, 'Autocomplete')","(0.9974586036108797, 'BrowserStorage')","(0.9979589740043688, 'Date')","(0.9984566909301251, 'Number')","(0.9986424925430087, 'Canvas')","(0.998698789268098, 'TextSummary')","(0.9987604058636667, 'Export')","(0.9987783032843183, 'HTML')","(0.9991662190926377, 'Assessing')","(0.9992455048950989, 'PDF')","(0.9994120423743701, 'LastAnnotation')","(0.9994388569865256, 'SentimentAnalysis')","(0.9994702757997347, 'AnnotationList')","(0.9995357987740455, 'MoodleComment')","(0.9995968289995564, 'Categorize')","(0.9997442878313401, 'JSON')","(0.9997563781056613, 'URN')","(0.9997946506568056, 'Commenting')","(0.99979931821793, 'Update')","(0.9998171651292369, 'Create')","(0.9998196124083073, 'Delete')","(0.9998287311299999, 'MoodleConsumer')","(0.9998597014918416, 'SuggestedLiterature')","(0.9998668282446496, 'MoodleReport')","(0.9998749163011322, 'Selector')","(0.9998812703094229, 'ImportAnnotations')","(0.9998818455740582, 'Classifying')","(0.9998915248143503, 'AnnotatedPDF')","(0.9999133329828259, 'Replying')","(0.9999142690010969, 'UserFilter')","(0.9999165042089027, 'SidebarNavigation')","(0.9999390764367985, 'MoodleResource')","(0.9999449693001039, 'Multivalued')","(0.9999635827729667, 'GoogleSheetConsumer')","(0.9999720870304138, 'Hierarchy')","(0.9999814613289947, 'MoodleProvider')","(1, 'Manual')"
Assessing,"(3.4435171752944527e-06, 'Categorize')","(7.3341262817328e-06, 'Commenting')","(6.265949301098583e-05, 'SuggestedLiterature')","(0.00971263179956372, 'Replying')","(0.017078593264425068, 'Selector')","(0.12910685546282352, 'SentimentAnalysis')","(0.3254310127650988, 'Autocomplete')","(0.3447487706266382, 'Classifying')","(0.46749909146016455, 'AnnotationList')","(0.883532670754461, 'SidebarNavigation')","(0.9131782943649782, 'TXT')","(0.9451029357309871, 'Hypothesis')","(0.9957826638906283, 'Alphabetical')","(0.9958513137848276, 'URL')","(0.9972348674755973, 'Date')","(0.9979091622970745, 'Number')","(0.9979145872756301, 'Export')","(0.9981987441511904, 'HTML')","(0.9984100757846041, 'TextSummary')","(0.9985721716773039, 'Dropbox')","(0.9985981917983179, 'Remote')","(0.9986194203176381, 'PDF')","(0.9986305580235364, 'ImportCodebook')","(0.9986709432054881, 'Canvas')","(0.9987492480719915, 'DeleteAll')","(0.998769374831617, 'LastAnnotation')","(0.9988120978311462, 'Codebook')","(0.9988310378606058, 'MoodleReport')","(0.9988540027109355, 'Neo4J')","(0.9988808086587513, 'MoodleComment')","(0.998883017761867, 'JSON')","(0.9989889280074381, 'ImportAnnotations')","(0.9990107931446952, 'ScienceDirect')","(0.9990222513131995, 'DOI')","(0.9990777179248244, 'ExportCodebook')","(0.9990794256319073, 'URN')","(0.999086899974474, 'PreviousAssignments')","(0.9991180904857985, 'Update')","(0.999134160514223, 'Create')","(0.9991363641367483, 'Delete')","(0.9991445749796105, 'MoodleConsumer')","(0.9991483149861664, 'BuiltIn')","(0.9991662190926377, 'Manual')","(0.9991807890638303, 'AnnotationServer')","(0.9991812440697319, 'ACM')","(0.99919557257573, 'Multivalued')","(0.9992004105548965, 'Springer')","(0.999201116853407, 'AnnotatedPDF')","(0.999203270550889, 'CodebookUpdate')","(0.9992056855786077, 'GoogleSheetProvider')","(0.999211095944827, 'Hierarchy')","(0.9992212377392931, 'BrowserStorage')","(0.9992215966284155, 'UserFilter')","(0.9992388643633138, 'CodebookDelete')","(0.9992439342506281, 'MoodleResource')","(0.9992474188404216, 'GoogleSheetConsumer')","(0.9992556348930683, 'RenameCodebook')","(0.9992651048053763, 'ApplicationBased')","(0.9992820993653457, 'MoodleProvider')","(1, 'Assessing')"
HTML,"(0.9732633315765823, 'Hypothesis')","(0.9953403772992913, 'Alphabetical')","(0.995459881728181, 'URL')","(0.996747550946868, 'TXT')","(0.9967597196059451, 'Date')","(0.9974305602654147, 'Export')","(0.9975498822005271, 'Number')","(0.9977480679600139, 'Autocomplete')","(0.9979000785555256, 'TextSummary')","(0.997970250786891, 'SentimentAnalysis')","(0.9980096457536048, 'ImportCodebook')","(0.9980271313430882, 'Dropbox')","(0.9980838979496581, 'AnnotationList')","(0.9981171199755502, 'Remote')","(0.9981987441511904, 'Assessing')","(0.9982274072992995, 'DeleteAll')","(0.9982712520504087, 'PDF')","(0.9982772733274673, 'Codebook')","(0.9983012169715373, 'Canvas')","(0.9983241910211823, 'MoodleReport')","(0.9983678244594221, 'Neo4J')","(0.9984235535344477, 'LastAnnotation')","(0.9984267942931568, 'Classifying')","(0.9984525773876954, 'JSON')","(0.9985367316540346, 'MoodleComment')","(0.9985520269437519, 'ImportAnnotations')","(0.998590777165073, 'ScienceDirect')","(0.9985925454390382, 'Categorize')","(0.9985944227496574, 'Selector')","(0.998614778917193, 'DOI')","(0.998655936084928, 'ExportCodebook')","(0.9986769855766008, 'PreviousAssignments')","(0.9986866036721768, 'SidebarNavigation')","(0.998738458072717, 'URN')","(0.9987471634601206, 'Replying')","(0.9987563444203352, 'BuiltIn')","(0.9987734596604624, 'Commenting')","(0.998777728312364, 'Update')","(0.9987783032843183, 'Manual')","(0.9987940499600163, 'Create')","(0.9987962880864405, 'Delete')","(0.9988028049749692, 'AnnotationServer')","(0.9988046274937459, 'MoodleConsumer')","(0.9988216022404321, 'SuggestedLiterature')","(0.99883078719802, 'CodebookUpdate')","(0.9988314305168355, 'Multivalued')","(0.998834897568526, 'GoogleSheetProvider')","(0.9988418707566158, 'ACM')","(0.9988430547876967, 'Hierarchy')","(0.9988613373628619, 'Springer')","(0.998862054721151, 'AnnotatedPDF')","(0.9988740002824794, 'BrowserStorage')","(0.9988828551878625, 'UserFilter')","(0.9988923775426729, 'CodebookDelete')","(0.998900428166808, 'GoogleSheetConsumer')","(0.9989055426008618, 'MoodleResource')","(0.9989174264697631, 'RenameCodebook')","(0.9989270446778652, 'ApplicationBased')","(0.9989443053705656, 'MoodleProvider')","(1, 'HTML')"
Update,"(2.453873941821172e-07, 'UserFilter')","(0.11502451785825685, 'DeleteAll')","(0.8575406704739548, 'Selector')","(0.8601679591072678, 'Replying')","(0.8623119633311936, 'Autocomplete')","(0.8953719620663751, 'Remote')","(0.9140793642952039, 'SidebarNavigation')","(0.9749520066426178, 'CodebookDelete')","(0.9807160465957615, 'Hierarchy')","(0.9964901913159822, 'URL')","(0.9965045382252562, 'Alphabetical')","(0.9971225076444833, 'Hypothesis')","(0.9980103548746163, 'Date')","(0.998495542254528, 'Number')","(0.9986799630637422, 'TXT')","(0.9987045575131889, 'Export')","(0.998777728312364, 'HTML')","(0.9991180904857985, 'Assessing')","(0.9991876569422012, 'PDF')","(0.9992424241754341, 'TextSummary')","(0.9992743623977189, 'Canvas')","(0.9992881512170788, 'SentimentAnalysis')","(0.9993280081580131, 'AnnotationList')","(0.9993337793373058, 'LastAnnotation')","(0.9994423650941769, 'MoodleComment')","(0.9994617094199477, 'Dropbox')","(0.9994959139784614, 'Categorize')","(0.9995855215311965, 'JSON')","(0.9996359049836647, 'URN')","(0.9996439201214087, 'ImportCodebook')","(0.9996474725555513, 'Neo4J')","(0.9996582396767332, 'MoodleReport')","(0.9996694859695422, 'Commenting')","(0.9996842782062839, 'Classifying')","(0.9996849601812278, 'Codebook')","(0.9996872690480516, 'DOI')","(0.9996962824856356, 'ScienceDirect')","(0.9996993887619691, 'MoodleConsumer')","(0.999701974525834, 'ImportAnnotations')","(0.999724920180623, 'SuggestedLiterature')","(0.9997351203464097, 'ACM')","(0.9997537967957513, 'Springer')","(0.9997544850359243, 'AnnotatedPDF')","(0.9997559023465147, 'PreviousAssignments')","(0.9997660883942199, 'ExportCodebook')","(0.9997879480315991, 'BrowserStorage')","(0.9997880318005768, 'BuiltIn')","(0.9997898719450408, 'Multivalued')","(0.9997962076735496, 'MoodleResource')","(0.9997976791787965, 'AnnotationServer')","(0.99979931821793, 'Manual')","(0.9998076091449793, 'RenameCodebook')","(0.99981083119904, 'GoogleSheetProvider')","(0.999811183045705, 'CodebookUpdate')","(0.9998137260615673, 'GoogleSheetConsumer')","(0.9998168369208505, 'ApplicationBased')","(0.9998333969409794, 'MoodleProvider')","(1, 'Create')","(1, 'Delete')","(1, 'Update')"
Hypothesis,"(0.0655415865335035, 'AnnotationServer')","(0.10184000889940314, 'Remote')","(0.12355031980954012, 'Neo4J')","(0.6786111481269781, 'ApplicationBased')","(0.6811917154008889, 'BuiltIn')","(0.7405320218976844, 'Codebook')","(0.7514954868905898, 'TXT')","(0.8378631386711524, 'ScienceDirect')","(0.8672752804862932, 'DOI')","(0.8758549189909425, 'GoogleSheetProvider')","(0.8847155339748491, 'ImportCodebook')","(0.895493873696472, 'Manual')","(0.9185816288096071, 'SentimentAnalysis')","(0.9291772368469458, 'MoodleConsumer')","(0.9293612159373403, 'MoodleProvider')","(0.9451029357309871, 'Assessing')","(0.9456274937523607, 'Categorize')","(0.945841811290856, 'SuggestedLiterature')","(0.9458685994515745, 'Commenting')","(0.9461750313272695, 'Replying')","(0.9465217016490333, 'Selector')","(0.9629685200238929, 'Autocomplete')","(0.9645706877497316, 'Classifying')","(0.9706859749947473, 'AnnotationList')","(0.9724075411573873, 'GoogleSheetConsumer')","(0.9732633315765823, 'HTML')","(0.9750868265162006, 'BrowserStorage')","(0.9852302303173699, 'URL')","(0.9909939956928282, 'Dropbox')","(0.9934283107267803, 'SidebarNavigation')","(0.995193286143826, 'Alphabetical')","(0.9971225076444833, 'Update')","(0.9971450660021053, 'Create')","(0.9971481593463098, 'Delete')","(0.9972678050877101, 'UserFilter')","(0.9974016324224987, 'Date')","(0.9974295860293764, 'DeleteAll')","(0.9980352605710019, 'Number')","(0.9984158473759037, 'Export')","(0.998978649076565, 'Hierarchy')","(0.9990341233630582, 'PDF')","(0.9991733985258215, 'Canvas')","(0.9992134222888357, 'TextSummary')","(0.9992450072004636, 'LastAnnotation')","(0.9994017180246255, 'MoodleComment')","(0.9996629541530603, 'JSON')","(0.9996810342520621, 'URN')","(0.9998157013037904, 'MoodleReport')","(0.9998242214415223, 'ACM')","(0.9998361526358521, 'ImportAnnotations')","(0.9998511752027968, 'Springer')","(0.9998521684676163, 'AnnotatedPDF')","(0.9998642432803677, 'CodebookDelete')","(0.9998978861685767, 'PreviousAssignments')","(0.9999123823634134, 'MoodleResource')","(0.9999190429906348, 'Multivalued')","(0.9999200000414191, 'ExportCodebook')","(0.9999288369052588, 'RenameCodebook')","(0.9999551498792507, 'CodebookUpdate')","(1, 'Hypothesis')"
