QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(1.0530360178004456e-07, 'Create')","(0.0005935052479103914, 'UserFilter')","(0.0877957747386546, 'DeleteAll')","(0.13221969633279285, 'JSON')","(0.22806436668425534, 'ImportAnnotations')","(0.235568983158206, 'Remote')","(0.38741645011766424, 'SidebarNavigation')","(0.405834112154438, 'Replying')","(0.4496924467912352, 'AnnotatedPDF')","(0.4764648436614736, 'Selector')","(0.4923968431833617, 'Neo4J')","(0.5025338754692369, 'Autocomplete')","(0.5033718611314255, 'MoodleReport')","(0.5110084588064991, 'ImportCodebook')","(0.5225512201241227, 'CodebookUpdate')","(0.5271557462831278, 'Multivalued')","(0.556048970222809, 'BuiltIn')","(0.5859732276401703, 'CodebookDelete')","(0.5923822019596025, 'Hierarchy')","(0.597738758512288, 'MoodleConsumer')","(0.6140427809273865, 'ExportCodebook')","(0.617613152199636, 'URL')","(0.6177650258720004, 'PreviousAssignments')","(0.6513692634628254, 'WebAnnotationClient')","(0.6569389192398007, 'MoodleResourceBased')","(0.656938919239801, 'Alphabetical')","(0.656938919239801, 'Number')","(0.6670088392379292, 'Date')","(0.668364344199287, 'HTML')","(0.6725042952101926, 'PDF')","(0.6727811233038226, 'Export')","(0.6760978315352257, 'AnnotationList')","(0.6770678819124133, 'Assessing')","(0.6770678819124464, 'Canvas')","(0.6770678819124464, 'LastAnnotation')","(0.6771182476088757, 'TXT')","(0.6791779761424798, 'MoodleComment')","(0.6791819041381413, 'URN')","(0.679362422173887, 'SentimentAnalysis')","(0.679394920943048, 'Categorize')","(0.6797945322623122, 'TextSummary')","(0.6812949639898038, 'Dropbox')","(0.6828878701996863, 'Commenting')","(0.6837131621849479, 'DOI')","(0.6839700460906437, 'ScienceDirect')","(0.6840374606216446, 'SuggestedLiterature')","(0.6854111907388138, 'ACM')","(0.6854755688216116, 'Springer')","(0.6860735212905493, 'MoodleResource')","(0.6863888550961832, 'Classifying')","(0.6867340542985882, 'Codebook')","(0.6868750754063615, 'ApplicationBased')","(0.687730874828388, 'Hosting')","(0.6882113540531001, 'MoodleProvider')","(0.6887380879776506, 'BrowserStorage')","(0.689034871245052, 'GoogleSheetConsumer')","(0.6892479810161768, 'RenameCodebook')","(0.6894113539574105, 'Hypothesis')","(0.6894693140807482, 'Manual')","(0.6898863819394376, 'GoogleSheetProvider')","(0.6899871580495389, 'AnnotationServer')","(1, 'Delete')","(1, 'Update')"
ScienceDirect,"(0.04926093496002032, 'Dropbox')","(0.09871367955613893, 'Hosting')","(0.12094920701362638, 'DOI')","(0.1316465452340429, 'Canvas')","(0.1316465452340429, 'LastAnnotation')","(0.13203094719412797, 'AnnotationList')","(0.1326717066908576, 'ACM')","(0.13270510983093203, 'Springer')","(0.1382779143389107, 'URN')","(0.1386145642193192, 'PreviousAssignments')","(0.18892575932231045, 'TextSummary')","(0.19648930121927863, 'TXT')","(0.2667888306406293, 'MoodleConsumer')","(0.27213825214572684, 'MoodleProvider')","(0.33744108420635444, 'AnnotatedPDF')","(0.34090256040119477, 'GoogleSheetProvider')","(0.3617738685575259, 'PDF')","(0.3671469944567798, 'JSON')","(0.38893014096327017, 'GoogleSheetConsumer')","(0.39940837896258474, 'Neo4J')","(0.4661552001671764, 'Categorize')","(0.49618212211051216, 'MoodleReport')","(0.5071318589039775, 'DeleteAll')","(0.5158019600326875, 'SuggestedLiterature')","(0.522728261159523, 'AnnotationServer')","(0.5274390007835787, 'Manual')","(0.5318184592269335, 'MoodleResource')","(0.5467644994238876, 'ImportAnnotations')","(0.5613798712516058, 'URL')","(0.5684300290675993, 'ApplicationBased')","(0.5817727438122364, 'ImportCodebook')","(0.5869650809722428, 'BuiltIn')","(0.6085258776282358, 'Remote')","(0.6095029628420447, 'Replying')","(0.6264686375147351, 'WebAnnotationClient')","(0.6371259587291436, 'Alphabetical')","(0.6371259587291436, 'Number')","(0.6371259587291437, 'MoodleResourceBased')","(0.6433669296789037, 'Codebook')","(0.6494881968108589, 'Multivalued')","(0.6558481306662503, 'Date')","(0.6582724820279837, 'HTML')","(0.6659177340127875, 'Export')","(0.6728497536744442, 'Assessing')","(0.6760402484123322, 'MoodleComment')","(0.6763114699455941, 'SentimentAnalysis')","(0.6812488175568472, 'Commenting')","(0.6815437369697279, 'Autocomplete')","(0.6830356512166353, 'Selector')","(0.6839700460906437, 'Delete')","(0.6839700460906438, 'Update')","(0.6840173782467158, 'Create')","(0.6859358875183501, 'Classifying')","(0.6861720200389974, 'SidebarNavigation')","(0.687522899818074, 'UserFilter')","(0.6879782374852035, 'ExportCodebook')","(0.6884507267829856, 'BrowserStorage')","(0.688658896778655, 'CodebookDelete')","(0.6888415847138627, 'Hierarchy')","(0.689027614011833, 'RenameCodebook')","(0.6892109576608849, 'Hypothesis')","(0.6898909553628636, 'CodebookUpdate')","(1, 'ScienceDirect')"
TextSummary,"(0.001135512628362928, 'TXT')","(0.07593612288497395, 'Canvas')","(0.07593612288497395, 'LastAnnotation')","(0.07605921299512822, 'AnnotationList')","(0.08056617786075278, 'ACM')","(0.08063074193055904, 'Springer')","(0.08384529015343206, 'URN')","(0.09797891504476133, 'Hosting')","(0.1243302567831425, 'PDF')","(0.17411783087652372, 'AnnotatedPDF')","(0.18892575932231045, 'ScienceDirect')","(0.19872518414868656, 'Categorize')","(0.2113309353535615, 'Dropbox')","(0.21494254575692645, 'PreviousAssignments')","(0.2179078966800597, 'DOI')","(0.2463210907755241, 'SuggestedLiterature')","(0.3395905331293553, 'JSON')","(0.3758529826565867, 'Neo4J')","(0.3952818223500675, 'Assessing')","(0.398119681578512, 'SentimentAnalysis')","(0.4029776570322279, 'Commenting')","(0.45479879932924894, 'MoodleConsumer')","(0.45767590776594447, 'Selector')","(0.47667571134765974, 'Replying')","(0.4922871484643747, 'MoodleReport')","(0.4933821963668539, 'DeleteAll')","(0.5039568364179483, 'MoodleProvider')","(0.5281337663313651, 'Classifying')","(0.5310998956183355, 'Autocomplete')","(0.5355588788146926, 'ImportAnnotations')","(0.5417388021014058, 'SidebarNavigation')","(0.5562408456584624, 'URL')","(0.5643619326210991, 'Manual')","(0.614456814246309, 'WebAnnotationClient')","(0.6247110015571571, 'Multivalued')","(0.6247495788857329, 'Alphabetical')","(0.6247495788857329, 'Number')","(0.6247495788857331, 'MoodleResourceBased')","(0.6373984318596622, 'Hierarchy')","(0.6440699052100003, 'Date')","(0.6467486415323525, 'HTML')","(0.6555984222399109, 'Export')","(0.6685667973799221, 'MoodleComment')","(0.6713528366677438, 'Remote')","(0.679794532262312, 'Update')","(0.6797945322623122, 'Delete')","(0.6798627925745679, 'Create')","(0.6799507567829808, 'BuiltIn')","(0.6804471227193323, 'MoodleResource')","(0.6808183556788128, 'ApplicationBased')","(0.6811697151992178, 'Codebook')","(0.6812413481642837, 'ImportCodebook')","(0.684053487064354, 'ExportCodebook')","(0.6848550413188788, 'UserFilter')","(0.6858359939680702, 'CodebookDelete')","(0.6861353496329176, 'BrowserStorage')","(0.6865931616589925, 'GoogleSheetConsumer')","(0.6866461399890812, 'CodebookUpdate')","(0.6869174028689256, 'RenameCodebook')","(0.6871633772161969, 'Hypothesis')","(0.6873251695412916, 'GoogleSheetProvider')","(0.6880118486023765, 'AnnotationServer')","(1, 'TextSummary')"
MoodleConsumer,"(0.09254364821477014, 'MoodleProvider')","(0.15666621321239954, 'MoodleResource')","(0.18497732828249772, 'MoodleReport')","(0.19490810561435745, 'PreviousAssignments')","(0.2132346955919392, 'Dropbox')","(0.2460006404032481, 'AnnotatedPDF')","(0.2667888306406293, 'ScienceDirect')","(0.27108121094780724, 'MoodleComment')","(0.27509463943666224, 'MoodleResourceBased')","(0.27682265419272406, 'GoogleSheetConsumer')","(0.28921692341915894, 'GoogleSheetProvider')","(0.3121053529141562, 'DOI')","(0.4321482920021049, 'AnnotationList')","(0.43318089413061306, 'Canvas')","(0.43318089413061306, 'LastAnnotation')","(0.43783083063865147, 'URN')","(0.4421182791517861, 'JSON')","(0.44235206131303284, 'ACM')","(0.4424228506592258, 'Springer')","(0.4492557544452933, 'Hosting')","(0.4542829213672228, 'TXT')","(0.45479879932924894, 'TextSummary')","(0.4888747023277206, 'Neo4J')","(0.5009697796169104, 'DeleteAll')","(0.5073543664013, 'PDF')","(0.5294241620736275, 'ImportAnnotations')","(0.5308033567780628, 'Autocomplete')","(0.5358650691692142, 'URL')","(0.5396078136071554, 'Replying')","(0.555556142582394, 'ImportCodebook')","(0.5574165546257006, 'Categorize')","(0.577263596105534, 'ApplicationBased')","(0.5822435493843947, 'BuiltIn')","(0.58403337152735, 'SuggestedLiterature')","(0.597211228070939, 'Multivalued')","(0.597738758512288, 'Delete')","(0.5977387585122882, 'Update')","(0.5977867616891936, 'Create')","(0.6013562788751374, 'UserFilter')","(0.6023048770671731, 'SidebarNavigation')","(0.6081198563617173, 'Remote')","(0.6139986088656697, 'WebAnnotationClient')","(0.6157976918777209, 'Manual')","(0.6268943842189114, 'Alphabetical')","(0.6268943842189114, 'Number')","(0.6274898076020057, 'Hierarchy')","(0.6349392579192881, 'Selector')","(0.6475478883828678, 'CodebookUpdate')","(0.6495780889639264, 'Date')","(0.65251229015283, 'HTML')","(0.6563101281328877, 'ExportCodebook')","(0.656978415567701, 'CodebookDelete')","(0.6581611346489675, 'Classifying')","(0.6617430024297106, 'Export')","(0.6700532898862128, 'Assessing')","(0.6741633450118292, 'SentimentAnalysis')","(0.6799469522989972, 'Commenting')","(0.6860493129848981, 'Codebook')","(0.6880999415646536, 'BrowserStorage')","(0.6887315835875127, 'RenameCodebook')","(0.6889314824228381, 'Hypothesis')","(0.6896264731336572, 'AnnotationServer')","(1, 'MoodleConsumer')"
LastAnnotation,"(0.00010174244944141342, 'AnnotationList')","(0.00596445051858811, 'ACM')","(0.00604195477205616, 'Springer')","(0.009107278841478966, 'URN')","(0.025984568493318115, 'Hosting')","(0.07593612288497395, 'TextSummary')","(0.08440674244412516, 'TXT')","(0.1316465452340429, 'ScienceDirect')","(0.1575880372575224, 'Dropbox')","(0.16021811103684855, 'PreviousAssignments')","(0.16518285180867687, 'DOI')","(0.2665860359081861, 'AnnotatedPDF')","(0.29253731463824084, 'PDF')","(0.30478724385783756, 'JSON')","(0.34559926202660884, 'Neo4J')","(0.42380484606533614, 'Categorize')","(0.43318089413061306, 'MoodleConsumer')","(0.4766764812602905, 'DeleteAll')","(0.48607344721217494, 'SuggestedLiterature')","(0.4867568100100427, 'MoodleProvider')","(0.5226902131699837, 'ImportAnnotations')","(0.5474484595100535, 'MoodleReport')","(0.5545702902065764, 'Manual')","(0.5586188227113692, 'URL')","(0.6072430377774813, 'WebAnnotationClient')","(0.6168288276294343, 'Alphabetical')","(0.6168288276294343, 'MoodleResourceBased')","(0.6168288276294343, 'Number')","(0.63615490990403, 'Date')","(0.6390001702527006, 'HTML')","(0.6487160140304457, 'Export')","(0.6587139427642379, 'Assessing')","(0.6637405406716974, 'MoodleComment')","(0.6641797082638571, 'SentimentAnalysis')","(0.6659205519622458, 'Remote')","(0.6680142219539378, 'Autocomplete')","(0.6698788123387601, 'Replying')","(0.6706452294589887, 'Selector')","(0.6724278188676653, 'Commenting')","(0.6741086029949677, 'BuiltIn')","(0.6755215472193055, 'ApplicationBased')","(0.6761041264241068, 'MoodleResource')","(0.676535900543318, 'Codebook')","(0.6765667488394829, 'ImportCodebook')","(0.6770678819124464, 'Delete')","(0.6770678819124465, 'Update')","(0.6770820940480127, 'SidebarNavigation')","(0.6771482030419886, 'Create')","(0.6772879150622708, 'Multivalued')","(0.6781348485342003, 'Classifying')","(0.6807463568968277, 'ExportCodebook')","(0.6808387368291494, 'Hierarchy')","(0.6829527720626254, 'UserFilter')","(0.6835343700322196, 'CodebookDelete')","(0.6836915703644254, 'CodebookUpdate')","(0.684412521354578, 'BrowserStorage')","(0.6849308308186643, 'GoogleSheetConsumer')","(0.6851585394162916, 'GoogleSheetProvider')","(0.6852966521319234, 'RenameCodebook')","(0.6855734385251122, 'Hypothesis')","(0.6865230318796529, 'AnnotationServer')","(1, 'Canvas')","(1, 'LastAnnotation')"
Manual,"(0.04259376156114025, 'RenameCodebook')","(0.05937747803050064, 'CodebookDelete')","(0.10910512859182347, 'ExportCodebook')","(0.15252486717916908, 'ApplicationBased')","(0.1661777156510299, 'ImportCodebook')","(0.18579543791014239, 'BuiltIn')","(0.3102175979541154, 'Codebook')","(0.46176830868846835, 'DeleteAll')","(0.4754622040163666, 'PreviousAssignments')","(0.5268835325039708, 'Hosting')","(0.5274390007835787, 'ScienceDirect')","(0.527572484113756, 'CodebookUpdate')","(0.5540822317846903, 'AnnotationList')","(0.5545702902065764, 'Canvas')","(0.5545702902065764, 'LastAnnotation')","(0.5567532236913713, 'URN')","(0.5580791492468293, 'ACM')","(0.5581012400040772, 'Springer')","(0.5641974986035021, 'TXT')","(0.5643619326210991, 'TextSummary')","(0.5736617294002109, 'Selector')","(0.5740853361104602, 'MoodleResource')","(0.574543859630257, 'Dropbox')","(0.5761695219172975, 'DOI')","(0.5887501662929429, 'PDF')","(0.5894045671746582, 'AnnotatedPDF')","(0.5936450953936864, 'JSON')","(0.59749801408553, 'URL')","(0.5981952671929391, 'AnnotationServer')","(0.6006996157533218, 'Neo4J')","(0.6051094175806593, 'MoodleProvider')","(0.6130359322957724, 'Categorize')","(0.6157976918777209, 'MoodleConsumer')","(0.6259750883403514, 'SuggestedLiterature')","(0.6343614756112614, 'ImportAnnotations')","(0.6417683785426371, 'Remote')","(0.641923731079697, 'MoodleReport')","(0.6491721966348007, 'WebAnnotationClient')","(0.6507830883037671, 'Hierarchy')","(0.6538087559677248, 'GoogleSheetProvider')","(0.6574639075727577, 'Alphabetical')","(0.6574639075727577, 'Number')","(0.6574639075727579, 'MoodleResourceBased')","(0.6643391155666114, 'Multivalued')","(0.6716355379759846, 'Date')","(0.6734050080353626, 'HTML')","(0.6788108449711387, 'Export')","(0.6833722197038985, 'Assessing')","(0.6853086647576765, 'MoodleComment')","(0.6854673200034537, 'SentimentAnalysis')","(0.6881615948279686, 'Commenting')","(0.6891154736604446, 'Autocomplete')","(0.6894693140807481, 'Update')","(0.6894693140807482, 'Delete')","(0.6894908729113653, 'Create')","(0.6901154683939371, 'Replying')","(0.6906485110415714, 'Classifying')","(0.6909339321761357, 'SidebarNavigation')","(0.6909832263238578, 'UserFilter')","(0.6913510397213243, 'BrowserStorage')","(0.6914832529169843, 'GoogleSheetConsumer')","(0.6916494957428767, 'Hypothesis')","(1, 'Manual')"
Assessing,"(0.0005389398175269642, 'SentimentAnalysis')","(0.0031666345107010667, 'Commenting')","(0.06469947709898738, 'SuggestedLiterature')","(0.07988484225544301, 'Categorize')","(0.18479589612669672, 'Selector')","(0.19433198118941622, 'PDF')","(0.24282271073443398, 'Replying')","(0.37212492004372455, 'TXT')","(0.37896659258729803, 'Classifying')","(0.39528072666208014, 'Autocomplete')","(0.3952818223500675, 'TextSummary')","(0.41329550264736103, 'SidebarNavigation')","(0.42222129558061067, 'AnnotatedPDF')","(0.558618822710854, 'URL')","(0.5627478248045068, 'MoodleReport')","(0.5890269159300461, 'Multivalued')","(0.6072430377771283, 'WebAnnotationClient')","(0.6097410163676698, 'Hierarchy')","(0.6168288276291214, 'Alphabetical')","(0.6168288276291214, 'Number')","(0.6168288276291217, 'MoodleResourceBased')","(0.6361549099038072, 'Date')","(0.6390001702524917, 'HTML')","(0.648716014030285, 'Export')","(0.6564158320493727, 'AnnotationList')","(0.6587139427642379, 'Canvas')","(0.6587139427642379, 'LastAnnotation')","(0.6631843618839217, 'URN')","(0.6637405406716095, 'MoodleComment')","(0.6659205519621867, 'Remote')","(0.6672124468410812, 'Dropbox')","(0.6672660828263433, 'JSON')","(0.6700532898862128, 'MoodleConsumer')","(0.6701874036117319, 'PreviousAssignments')","(0.6722161548424375, 'DOI')","(0.6728497536744442, 'ScienceDirect')","(0.6730258833018076, 'Neo4J')","(0.6741086029943351, 'BuiltIn')","(0.6753716967736273, 'ImportAnnotations')","(0.6755215472185818, 'ApplicationBased')","(0.6761041264232122, 'MoodleResource')","(0.6762374513677448, 'DeleteAll')","(0.6765359005433094, 'Codebook')","(0.6765667488387908, 'ImportCodebook')","(0.6770678819124133, 'Delete')","(0.6770678819124133, 'Update')","(0.677148203041956, 'Create')","(0.6775184699637905, 'MoodleProvider')","(0.6779601919097797, 'ACM')","(0.6780951208537538, 'Springer')","(0.6807463568968208, 'ExportCodebook')","(0.6815874566031868, 'Hosting')","(0.6829527720626108, 'UserFilter')","(0.6833722197038985, 'Manual')","(0.6835343700322125, 'CodebookDelete')","(0.6836915703644233, 'CodebookUpdate')","(0.6844125213545675, 'BrowserStorage')","(0.6849308308175204, 'GoogleSheetConsumer')","(0.6851585394151587, 'GoogleSheetProvider')","(0.6852966521319154, 'RenameCodebook')","(0.6855734385251047, 'Hypothesis')","(0.6865230318796472, 'AnnotationServer')","(1, 'Assessing')"
HTML,"(0.42641576513860713, 'PDF')","(0.4680788040130849, 'URL')","(0.4888432571527739, 'Replying')","(0.546057213442912, 'WebAnnotationClient')","(0.5547881592285088, 'Categorize')","(0.5622096674540422, 'SuggestedLiterature')","(0.5631054948315787, 'Alphabetical')","(0.5631054948315787, 'Number')","(0.563105494831579, 'MoodleResourceBased')","(0.5707508928258003, 'Selector')","(0.5866972298794926, 'URN')","(0.598434345409935, 'Date')","(0.6015101924370829, 'ApplicationBased')","(0.6109288047115973, 'Dropbox')","(0.6129395664198917, 'BuiltIn')","(0.6199218885435585, 'Codebook')","(0.6213695917581044, 'Export')","(0.6343610201067954, 'PreviousAssignments')","(0.6350235938897069, 'AnnotationList')","(0.6361512834710459, 'TXT')","(0.6390001702524917, 'Assessing')","(0.6390001702527006, 'Canvas')","(0.6390001702527006, 'LastAnnotation')","(0.6467486415323525, 'TextSummary')","(0.6474985846223509, 'MoodleComment')","(0.647663822641436, 'Remote')","(0.6478270623197324, 'Autocomplete')","(0.6482267433810017, 'SentimentAnalysis')","(0.6503932357886162, 'MoodleReport')","(0.6513696168294216, 'JSON')","(0.6516466524198397, 'AnnotatedPDF')","(0.65251229015283, 'MoodleConsumer')","(0.6571432857368742, 'DOI')","(0.6582724820279837, 'ScienceDirect')","(0.6583961599950814, 'Neo4J')","(0.6594297930951407, 'MoodleProvider')","(0.6603898271771345, 'ImportCodebook')","(0.6611608299891005, 'MoodleResource')","(0.6614090867982299, 'Commenting')","(0.6617820792975437, 'ImportAnnotations')","(0.6623827941975868, 'Multivalued')","(0.6629785288395449, 'SidebarNavigation')","(0.6633045603526755, 'DeleteAll')","(0.6666691578539609, 'Classifying')","(0.6680503088903044, 'Hierarchy')","(0.668364344199287, 'Delete')","(0.668364344199287, 'Update')","(0.6684815282531755, 'Create')","(0.6694684255382009, 'ExportCodebook')","(0.6696597822849584, 'ACM')","(0.6698544378086482, 'Springer')","(0.6730447368991803, 'Hosting')","(0.6731856566937, 'CodebookUpdate')","(0.6734050080353626, 'Manual')","(0.6756146265487893, 'CodebookDelete')","(0.6766357945672503, 'UserFilter')","(0.6775309327923003, 'GoogleSheetProvider')","(0.6785814920581159, 'BrowserStorage')","(0.679261111123385, 'GoogleSheetConsumer')","(0.6797370751176504, 'RenameCodebook')","(0.6800951018315238, 'Hypothesis')","(0.6813090760248148, 'AnnotationServer')","(1, 'HTML')"
Update,"(1.053036016689852e-07, 'Create')","(0.0005935052479101651, 'UserFilter')","(0.08779577473865466, 'DeleteAll')","(0.13221969633279276, 'JSON')","(0.2280643666842551, 'ImportAnnotations')","(0.2355689831582058, 'Remote')","(0.3874164501176643, 'SidebarNavigation')","(0.4058341121544379, 'Replying')","(0.4496924467912352, 'AnnotatedPDF')","(0.4764648436614736, 'Selector')","(0.49239684318336147, 'Neo4J')","(0.5025338754692369, 'Autocomplete')","(0.5033718611314255, 'MoodleReport')","(0.5110084588064991, 'ImportCodebook')","(0.5225512201241227, 'CodebookUpdate')","(0.5271557462831273, 'Multivalued')","(0.5560489702228093, 'BuiltIn')","(0.5859732276401706, 'CodebookDelete')","(0.5923822019596023, 'Hierarchy')","(0.5977387585122882, 'MoodleConsumer')","(0.6140427809273864, 'ExportCodebook')","(0.617613152199636, 'URL')","(0.6177650258720004, 'PreviousAssignments')","(0.6513692634628254, 'WebAnnotationClient')","(0.6569389192398007, 'MoodleResourceBased')","(0.6569389192398009, 'Alphabetical')","(0.6569389192398009, 'Number')","(0.667008839237929, 'Date')","(0.668364344199287, 'HTML')","(0.6725042952101926, 'PDF')","(0.6727811233038226, 'Export')","(0.6760978315352257, 'AnnotationList')","(0.6770678819124133, 'Assessing')","(0.6770678819124465, 'Canvas')","(0.6770678819124465, 'LastAnnotation')","(0.6771182476088757, 'TXT')","(0.6791779761424798, 'MoodleComment')","(0.6791819041381411, 'URN')","(0.6793624221738868, 'SentimentAnalysis')","(0.6793949209430478, 'Categorize')","(0.679794532262312, 'TextSummary')","(0.6812949639898037, 'Dropbox')","(0.6828878701996863, 'Commenting')","(0.6837131621849478, 'DOI')","(0.6839700460906438, 'ScienceDirect')","(0.6840374606216444, 'SuggestedLiterature')","(0.6854111907388136, 'ACM')","(0.6854755688216115, 'Springer')","(0.6860735212905492, 'MoodleResource')","(0.6863888550961832, 'Classifying')","(0.686734054298588, 'Codebook')","(0.6868750754063612, 'ApplicationBased')","(0.6877308748283878, 'Hosting')","(0.6882113540530999, 'MoodleProvider')","(0.6887380879776503, 'BrowserStorage')","(0.689034871245052, 'GoogleSheetConsumer')","(0.6892479810161766, 'RenameCodebook')","(0.6894113539574105, 'Hypothesis')","(0.6894693140807481, 'Manual')","(0.6898863819394376, 'GoogleSheetProvider')","(0.6899871580495387, 'AnnotationServer')","(1, 'Delete')","(1, 'Update')"
Hypothesis,"(0.12364791487573071, 'WebAnnotationClient')","(0.16679758110472306, 'Neo4J')","(0.25625321764908837, 'Remote')","(0.3850395793253929, 'DOI')","(0.48034049302877035, 'MoodleProvider')","(0.5216325314354943, 'MoodleResource')","(0.5283642756593001, 'PreviousAssignments')","(0.5422910236012384, 'Autocomplete')","(0.5959391164019741, 'Replying')","(0.6224129921633903, 'ApplicationBased')","(0.6367139777527003, 'URL')","(0.6714553984996421, 'Alphabetical')","(0.6714553984996421, 'MoodleResourceBased')","(0.6714553984996421, 'Number')","(0.6791401130062085, 'Date')","(0.6800951018315238, 'HTML')","(0.6830301862513815, 'Export')","(0.6832176731444424, 'PDF')","(0.6850269980241471, 'AnnotationList')","(0.6855734385251047, 'Assessing')","(0.6855734385251122, 'Canvas')","(0.6855734385251122, 'LastAnnotation')","(0.6857679155725251, 'TXT')","(0.6867009895401512, 'MoodleComment')","(0.6867955765650127, 'SentimentAnalysis')","(0.686806363397289, 'URN')","(0.6870745815206245, 'Categorize')","(0.6871633772161969, 'TextSummary')","(0.6877975324227168, 'JSON')","(0.6879820648248147, 'Dropbox')","(0.6884883503436343, 'Commenting')","(0.6889314824228381, 'MoodleConsumer')","(0.6889444940977361, 'AnnotatedPDF')","(0.6892109576608849, 'ScienceDirect')","(0.6892179015553799, 'SuggestedLiterature')","(0.6893203184094951, 'Selector')","(0.6894113539574105, 'Delete')","(0.6894113539574105, 'Update')","(0.6894275074973967, 'Create')","(0.6895916006612184, 'ACM')","(0.6896190266356512, 'Springer')","(0.6896894257505577, 'MoodleReport')","(0.6897495608242735, 'ImportAnnotations')","(0.6898950284746342, 'DeleteAll')","(0.6902101422343708, 'Classifying')","(0.6903788886268146, 'SidebarNavigation')","(0.6906103026122543, 'Codebook')","(0.6906527611743853, 'ImportCodebook')","(0.690664107725415, 'UserFilter')","(0.6906735027777934, 'Multivalued')","(0.6906868745148687, 'Hosting')","(0.6907759951361094, 'BuiltIn')","(0.6910182852230171, 'BrowserStorage')","(0.691044359347732, 'ExportCodebook')","(0.6911519325531037, 'GoogleSheetConsumer')","(0.6911872697131065, 'CodebookDelete')","(0.6912493747235764, 'RenameCodebook')","(0.6915533064515593, 'Hierarchy')","(0.6915996624654249, 'AnnotationServer')","(0.6916494957428767, 'Manual')","(0.6917066961986147, 'GoogleSheetProvider')","(0.6919076301048169, 'CodebookUpdate')","(1, 'Hypothesis')"
