QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(4.7461466022100625e-08, 'Create')","(4.851479801041961e-08, 'Update')","(0.00035525857495367235, 'UserFilter')","(0.10718353476857806, 'DeleteAll')","(0.2457419995136772, 'Remote')","(0.3269932005188866, 'ImportAnnotations')","(0.3694849523105609, 'Replying')","(0.3784059713090989, 'JSON')","(0.38975110718582007, 'SidebarNavigation')","(0.39335427953483376, 'Selector')","(0.4545060275608339, 'Commenting')","(0.4784067399006836, 'LastAnnotation')","(0.49690873973093497, 'Autocomplete')","(0.5028689809075944, 'Canvas')","(0.5209701722701647, 'Multivalued')","(0.5553396085503097, 'MoodleReport')","(0.5581446503974585, 'AnnotationList')","(0.55955290942706, 'MoodleResource')","(0.5800981208748853, 'BuiltIn')","(0.5944652165657823, 'CodebookDelete')","(0.5972044092830147, 'BrowserStorage')","(0.6228120133206849, 'ACM')","(0.6228120133206849, 'Alphabetical')","(0.6228120133206849, 'AnnotatedPDF')","(0.6237016157131253, 'ImportCodebook')","(0.6361893032914242, 'Hierarchy')","(0.660780785448065, 'URL')","(0.6664383296526715, 'MoodleResourceBased')","(0.6698259055691842, 'WebAnnotationClient')","(0.6701508533924685, 'Number')","(0.6740924566538972, 'Date')","(0.6759200867633737, 'HTML')","(0.6768578375950021, 'Export')","(0.6772496911904585, 'PDF')","(0.6795326492545506, 'TXT')","(0.6809197177120239, 'SentimentAnalysis')","(0.6813157945228585, 'Assessing')","(0.6822140593013895, 'Categorize')","(0.6824406632326385, 'URN')","(0.682462727213309, 'TextSummary')","(0.6826735307496671, 'MoodleComment')","(0.6836073679192569, 'Dropbox')","(0.6851314829228953, 'Neo4J')","(0.6854555498717224, 'DOI')","(0.6857901191559123, 'MoodleConsumer')","(0.6858001034853956, 'ScienceDirect')","(0.6861372742566398, 'SuggestedLiterature')","(0.6865173179610169, 'Springer')","(0.6866634503697484, 'PreviousAssignments')","(0.6874466304917992, 'Classifying')","(0.6884689904610577, 'Hosting')","(0.6890896666334615, 'Codebook')","(0.6891306450945461, 'ExportCodebook')","(0.6895128917829663, 'GoogleSheetProvider')","(0.6895140979845449, 'GoogleSheetConsumer')","(0.6898389897422498, 'RenameCodebook')","(0.6899568676332438, 'Manual')","(0.6901359298224419, 'Hypothesis')","(0.6905275755443275, 'ApplicationBased')","(0.6906567660960272, 'AnnotationServer')","(0.6909841839568656, 'CodebookUpdate')","(0.6916655923554826, 'MoodleProvider')","(1, 'Delete')"
ScienceDirect,"(0.12473246773462306, 'Hosting')","(0.12861600547434762, 'Dropbox')","(0.1760644979429133, 'TextSummary')","(0.17763177161032018, 'Springer')","(0.1968962792381474, 'DOI')","(0.2023284325750569, 'Canvas')","(0.23528256684369486, 'URN')","(0.25482217439175886, 'LastAnnotation')","(0.2571847974422727, 'WebAnnotationClient')","(0.2649223514107354, 'TXT')","(0.28143602462546213, 'BrowserStorage')","(0.3396824002503884, 'AnnotationList')","(0.3428176927226167, 'GoogleSheetProvider')","(0.3964689386226976, 'URL')","(0.4000854161306189, 'PreviousAssignments')","(0.40570530536179217, 'AnnotationServer')","(0.4091751937259477, 'GoogleSheetConsumer')","(0.433938652607458, 'PDF')","(0.44941548010773835, 'Neo4J')","(0.47500304691491996, 'SentimentAnalysis')","(0.5113110053098068, 'DeleteAll')","(0.5160738588843612, 'Categorize')","(0.549405557246466, 'Manual')","(0.5603783792640413, 'ACM')","(0.5603783792640413, 'Alphabetical')","(0.5603783792640413, 'AnnotatedPDF')","(0.5904498145496013, 'Autocomplete')","(0.6239912786109894, 'Multivalued')","(0.6503948926707417, 'MoodleResourceBased')","(0.657464599182448, 'Number')","(0.66502842917662, 'Date')","(0.6684089379404476, 'HTML')","(0.6701040252345875, 'Export')","(0.677700829966992, 'Assessing')","(0.6798345028395079, 'MoodleComment')","(0.6806086781893737, 'JSON')","(0.6817145928754909, 'Remote')","(0.6828993424674941, 'Commenting')","(0.6843678375069826, 'MoodleConsumer')","(0.6849763316695965, 'SuggestedLiterature')","(0.6855734224840361, 'Selector')","(0.6857281846634806, 'ImportAnnotations')","(0.6857704152596924, 'Update')","(0.6858001034853956, 'Delete')","(0.6858294631395465, 'Create')","(0.6862686707427439, 'MoodleReport')","(0.6865423696695572, 'Replying')","(0.6868528920080033, 'Classifying')","(0.6873961909678465, 'MoodleResource')","(0.6874436489020321, 'ImportCodebook')","(0.6877968256622058, 'SidebarNavigation')","(0.6883284020276501, 'UserFilter')","(0.6885571190345906, 'BuiltIn')","(0.6887047139065788, 'CodebookDelete')","(0.6887138400432915, 'Codebook')","(0.688823644367663, 'ExportCodebook')","(0.6894790064746047, 'Hierarchy')","(0.6895123190338486, 'RenameCodebook')","(0.6898596530543639, 'Hypothesis')","(0.6903120003424004, 'ApplicationBased')","(0.690876900864485, 'CodebookUpdate')","(0.6915891442110434, 'MoodleProvider')","(1, 'ScienceDirect')"
TextSummary,"(0.0017872958865505486, 'Springer')","(0.021271016244903962, 'Hosting')","(0.04023668729228832, 'Canvas')","(0.08846521737773426, 'URN')","(0.11752846914132142, 'LastAnnotation')","(0.13242822263690412, 'TXT')","(0.1760644979429133, 'ScienceDirect')","(0.1921854266264587, 'Dropbox')","(0.21522205391327198, 'DOI')","(0.2398228872915989, 'AnnotationList')","(0.32335609039213503, 'PreviousAssignments')","(0.37022002316384706, 'PDF')","(0.3902013930441329, 'Neo4J')","(0.42518821720268873, 'SentimentAnalysis')","(0.47175977924327434, 'DeleteAll')","(0.4777892881309813, 'Categorize')","(0.47797640074976266, 'BrowserStorage')","(0.5209378395882713, 'Manual')","(0.569506422140956, 'Autocomplete')","(0.590746530841457, 'ACM')","(0.590746530841457, 'Alphabetical')","(0.590746530841457, 'AnnotatedPDF')","(0.6379892709309042, 'URL')","(0.6457889737283793, 'MoodleResourceBased')","(0.6510458452074407, 'WebAnnotationClient')","(0.6520447323906358, 'Number')","(0.6585926900779073, 'Date')","(0.6617935915194811, 'HTML')","(0.6634789426809367, 'Export')","(0.6718567860573184, 'Assessing')","(0.6742312243036204, 'JSON')","(0.6744911386897878, 'MoodleComment')","(0.6761615226063439, 'Remote')","(0.6778146928228869, 'Commenting')","(0.6801038905103478, 'Selector')","(0.6804886907756826, 'MoodleConsumer')","(0.6806978677796832, 'SuggestedLiterature')","(0.6808992935606206, 'ImportAnnotations')","(0.681131247539724, 'MoodleReport')","(0.6815053755005223, 'Replying')","(0.682024260948479, 'ImportCodebook')","(0.6822540771545562, 'Classifying')","(0.6824216488953958, 'Update')","(0.682462727213309, 'Delete')","(0.6825033543265691, 'Create')","(0.6826487398813164, 'Multivalued')","(0.683352359611028, 'MoodleResource')","(0.6837241734984518, 'SidebarNavigation')","(0.6839919621185447, 'BuiltIn')","(0.6852280320652241, 'CodebookDelete')","(0.6852780950854638, 'ExportCodebook')","(0.6853826861615323, 'Hierarchy')","(0.6854351140045236, 'GoogleSheetProvider')","(0.6856686053295161, 'Codebook')","(0.6859491911628103, 'UserFilter')","(0.6870315731270411, 'GoogleSheetConsumer')","(0.6875453177240146, 'RenameCodebook')","(0.6880049629687877, 'Hypothesis')","(0.6885961027883094, 'ApplicationBased')","(0.6886118916984012, 'CodebookUpdate')","(0.6887871899290849, 'AnnotationServer')","(0.6902065264635355, 'MoodleProvider')","(1, 'TextSummary')"
MoodleConsumer,"(0.001083276042245662, 'MoodleComment')","(0.08112650833164722, 'MoodleResource')","(0.16970337830650545, 'MoodleReport')","(0.2304454611532729, 'MoodleResourceBased')","(0.46657992265406767, 'PreviousAssignments')","(0.6163081759483362, 'ACM')","(0.6163081759483362, 'Alphabetical')","(0.6163081759483362, 'AnnotatedPDF')","(0.6214128531149123, 'Multivalued')","(0.6470092248510184, 'Classifying')","(0.6559849300459251, 'URL')","(0.6657864383593934, 'WebAnnotationClient')","(0.6662350411582025, 'Number')","(0.6706764711185779, 'Date')","(0.6727718504884227, 'HTML')","(0.6738569562796637, 'Export')","(0.6740904656739372, 'PDF')","(0.6766560955101653, 'Canvas')","(0.6768485658293335, 'TXT')","(0.6770861356228205, 'LastAnnotation')","(0.6785686039796563, 'SentimentAnalysis')","(0.6787125405975984, 'AnnotationList')","(0.6791125935662573, 'Assessing')","(0.6800649212559988, 'Categorize')","(0.6803899747567975, 'URN')","(0.6804886907756826, 'TextSummary')","(0.6809378527620219, 'JSON')","(0.6817278368733555, 'Dropbox')","(0.6820054824147608, 'Remote')","(0.6829241536880883, 'Autocomplete')","(0.6830232933199719, 'Commenting')","(0.6835014658762972, 'Neo4J')","(0.683953809653466, 'DOI')","(0.6843678375069826, 'ScienceDirect')","(0.6848586687788716, 'SuggestedLiterature')","(0.684998904966019, 'Selector')","(0.6850102307252421, 'DeleteAll')","(0.6853084437547918, 'ImportAnnotations')","(0.6853834364821518, 'Springer')","(0.6857630664226286, 'Update')","(0.6857901191559123, 'Delete')","(0.6858168912625706, 'Create')","(0.6859269931851097, 'Replying')","(0.6865305149635192, 'BrowserStorage')","(0.6866131364235734, 'ImportCodebook')","(0.687267057606018, 'SidebarNavigation')","(0.6876377130521433, 'Hosting')","(0.6878096355773311, 'BuiltIn')","(0.6881602489643152, 'UserFilter')","(0.6882134491566354, 'CodebookDelete')","(0.6883068149630807, 'ExportCodebook')","(0.6883343662039434, 'Codebook')","(0.6886697370554904, 'GoogleSheetProvider')","(0.6887636025502312, 'Hierarchy')","(0.6889340210919589, 'GoogleSheetConsumer')","(0.6892226741634311, 'Manual')","(0.6893094480314983, 'RenameCodebook')","(0.6896503493822463, 'Hypothesis')","(0.6900964511771512, 'ApplicationBased')","(0.690242665605787, 'AnnotationServer')","(0.6904992686867855, 'CodebookUpdate')","(0.6913660047436706, 'MoodleProvider')","(1, 'MoodleConsumer')"
LastAnnotation,"(0.05610254186597703, 'AnnotationList')","(0.0629741320183852, 'Canvas')","(0.09570634825896498, 'TXT')","(0.11752846914132142, 'TextSummary')","(0.12379749419313915, 'Springer')","(0.13984156290238253, 'Hosting')","(0.18399284077642145, 'URN')","(0.22882103746261426, 'SentimentAnalysis')","(0.25482217439175886, 'ScienceDirect')","(0.26497479315637906, 'Dropbox')","(0.27471255174629716, 'Categorize')","(0.2849536044378038, 'DOI')","(0.29910236166522963, 'PDF')","(0.3120955423959967, 'DeleteAll')","(0.33894090144187583, 'Autocomplete')","(0.3406315205232612, 'Neo4J')","(0.35109898556617924, 'Commenting')","(0.3578888319105544, 'Replying')","(0.3713740283314836, 'PreviousAssignments')","(0.37286925174884733, 'Selector')","(0.4224023133473559, 'SidebarNavigation')","(0.42888446056766377, 'Assessing')","(0.44652694117967795, 'SuggestedLiterature')","(0.45154089547420895, 'BrowserStorage')","(0.4783585084720561, 'Update')","(0.4784067399006836, 'Delete')","(0.4784544290663952, 'Create')","(0.4824480597600116, 'UserFilter')","(0.49989256759125983, 'JSON')","(0.5171148335535627, 'ACM')","(0.5171148335535627, 'Alphabetical')","(0.5171148335535627, 'AnnotatedPDF')","(0.5194780575935822, 'Remote')","(0.5199785527445239, 'Classifying')","(0.5348559519995795, 'MoodleReport')","(0.5374627813660702, 'Manual')","(0.5408152253670848, 'Multivalued')","(0.5438902518580936, 'ImportAnnotations')","(0.6064247216693401, 'URL')","(0.6084098639388982, 'Hierarchy')","(0.6171806392116519, 'MoodleResource')","(0.6210685062836709, 'MoodleResourceBased')","(0.6255253203282954, 'BuiltIn')","(0.63048804257154, 'WebAnnotationClient')","(0.6319408656815292, 'Number')","(0.6333221198426994, 'CodebookDelete')","(0.6426942592561506, 'ImportCodebook')","(0.6432922067265829, 'Date')","(0.6486701829458956, 'HTML')","(0.6514504071195897, 'Export')","(0.6686003488466598, 'MoodleComment')","(0.6770861356228205, 'MoodleConsumer')","(0.6829469481994048, 'ExportCodebook')","(0.6829725107079458, 'GoogleSheetProvider')","(0.6835947264117817, 'Codebook')","(0.6855478685076069, 'GoogleSheetConsumer')","(0.6861734284665717, 'RenameCodebook')","(0.6867277866115618, 'Hypothesis')","(0.6871595096813385, 'CodebookUpdate')","(0.687433019244122, 'ApplicationBased')","(0.6876590520093772, 'AnnotationServer')","(0.6893047542055799, 'MoodleProvider')","(1, 'LastAnnotation')"
Manual,"(0.10899194614078209, 'CodebookDelete')","(0.1728377344587358, 'RenameCodebook')","(0.1941579396399798, 'ImportCodebook')","(0.2303949419623248, 'ExportCodebook')","(0.32802021180727403, 'ApplicationBased')","(0.3286846300541698, 'BuiltIn')","(0.3440138916566122, 'MoodleResourceBased')","(0.41683345802347826, 'Codebook')","(0.4174965312991772, 'Neo4J')","(0.4221340371573946, 'PDF')","(0.42704428575425285, 'BrowserStorage')","(0.4428675910959517, 'DeleteAll')","(0.5209378395882713, 'TextSummary')","(0.5227560390656918, 'Springer')","(0.5251719529142419, 'Canvas')","(0.526198319118969, 'Hosting')","(0.5341722851494681, 'URN')","(0.5374627813660702, 'LastAnnotation')","(0.53968342014312, 'TXT')","(0.543406471550297, 'GoogleSheetProvider')","(0.5461573019659669, 'MoodleResource')","(0.549405557246466, 'ScienceDirect')","(0.5513987249187362, 'Dropbox')","(0.5558441934676494, 'DOI')","(0.558455963140863, 'AnnotationList')","(0.5695013732442965, 'CodebookUpdate')","(0.5760576405437463, 'PreviousAssignments')","(0.5810976739250627, 'ACM')","(0.5810976739250627, 'Alphabetical')","(0.5810976739250627, 'AnnotatedPDF')","(0.5851030376390387, 'Selector')","(0.5957443339932441, 'SentimentAnalysis')","(0.6098538760662103, 'Categorize')","(0.6390506605349371, 'Autocomplete')","(0.6531367283617486, 'URL')","(0.6688255069895792, 'Hierarchy')","(0.6694653980909824, 'WebAnnotationClient')","(0.6695023973557156, 'Number')","(0.6757326913201154, 'Date')","(0.6784082586642092, 'HTML')","(0.6797162844540869, 'Export')","(0.6851958190469525, 'Assessing')","(0.6865833812409414, 'MoodleComment')","(0.6874595610326109, 'JSON')","(0.687963484774502, 'Remote')","(0.6886208757542721, 'Commenting')","(0.6892226741634311, 'MoodleConsumer')","(0.6897156012167196, 'SuggestedLiterature')","(0.6899421531087009, 'Update')","(0.6899568676332438, 'Delete')","(0.689971398541466, 'Create')","(0.690304595622875, 'ImportAnnotations')","(0.6906947795222897, 'MoodleReport')","(0.6908204760831653, 'Replying')","(0.6908936013086765, 'Classifying')","(0.6911374607208445, 'UserFilter')","(0.691252125622902, 'SidebarNavigation')","(0.6914247417216973, 'Multivalued')","(0.6914863993285645, 'GoogleSheetConsumer')","(0.6918011016353538, 'Hypothesis')","(0.6920603681065647, 'AnnotationServer')","(0.692577366721339, 'MoodleProvider')","(1, 'Manual')"
Assessing,"(0.03451140383326558, 'SuggestedLiterature')","(0.058045316696310544, 'Commenting')","(0.06479508559157168, 'SentimentAnalysis')","(0.06987605369313427, 'Categorize')","(0.17137735483820665, 'Replying')","(0.20807563025667675, 'Selector')","(0.2130124678058236, 'AnnotationList')","(0.3092059337506324, 'Classifying')","(0.32664585259923784, 'Autocomplete')","(0.3702129512552852, 'SidebarNavigation')","(0.4174579507791958, 'TXT')","(0.42888446056766377, 'LastAnnotation')","(0.4610713108994981, 'PDF')","(0.5185552382411932, 'Neo4J')","(0.5354276381523193, 'MoodleReport')","(0.5748441387359111, 'Multivalued')","(0.580235768197849, 'ACM')","(0.580235768197849, 'Alphabetical')","(0.580235768197849, 'AnnotatedPDF')","(0.5886401610050183, 'JSON')","(0.6119592805257507, 'Hierarchy')","(0.6309101818988356, 'URL')","(0.6394749792462482, 'MoodleResourceBased')","(0.6453945829604992, 'WebAnnotationClient')","(0.6466444970257484, 'Number')","(0.6540957422439151, 'Date')","(0.6577603506430989, 'HTML')","(0.6596939195103697, 'Export')","(0.6643566099770172, 'Canvas')","(0.6711718812323115, 'URN')","(0.6718567860573184, 'TextSummary')","(0.6723244950233195, 'MoodleComment')","(0.6731064440165755, 'Dropbox')","(0.6740814893461056, 'Remote')","(0.6769944043231244, 'DOI')","(0.677700829966992, 'ScienceDirect')","(0.6785011769257955, 'DeleteAll')","(0.6787127474035602, 'PreviousAssignments')","(0.6791125935662573, 'MoodleConsumer')","(0.6792307374681597, 'ImportAnnotations')","(0.6801573443765002, 'ImportCodebook')","(0.6806257081069327, 'Springer')","(0.68072028604735, 'BrowserStorage')","(0.6812701446873959, 'Update')","(0.6813157945228585, 'Delete')","(0.6813609342399085, 'Create')","(0.6819733927499351, 'MoodleResource')","(0.6824369816530593, 'BuiltIn')","(0.6837891161163179, 'Hosting')","(0.6840450513722522, 'CodebookDelete')","(0.6840649946349675, 'ExportCodebook')","(0.6841060047777913, 'GoogleSheetProvider')","(0.6846290745780275, 'Codebook')","(0.6851549327911356, 'UserFilter')","(0.6851958190469525, 'Manual')","(0.6863307522669697, 'GoogleSheetConsumer')","(0.6868857800766233, 'RenameCodebook')","(0.6873805682274613, 'Hypothesis')","(0.687825748820962, 'CodebookUpdate')","(0.6880142552455344, 'ApplicationBased')","(0.6882184211218676, 'AnnotationServer')","(0.6897230141257948, 'MoodleProvider')","(1, 'Assessing')"
HTML,"(0.019830712702093124, 'Hypothesis')","(0.18110620205377864, 'Remote')","(0.1864363088562726, 'Neo4J')","(0.23297643154271505, 'PDF')","(0.2994789155372698, 'DOI')","(0.370659997575301, 'URN')","(0.4327484292231723, 'TXT')","(0.45948542102037127, 'Dropbox')","(0.4979920873511019, 'PreviousAssignments')","(0.5224012617986744, 'ACM')","(0.5224012617986744, 'Alphabetical')","(0.5224012617986744, 'AnnotatedPDF')","(0.5657362677052281, 'Replying')","(0.594443065537777, 'URL')","(0.6074701116509872, 'MoodleResourceBased')","(0.6172211751644574, 'WebAnnotationClient')","(0.6200568736743651, 'Number')","(0.6325536649120588, 'Date')","(0.6419553963019473, 'Export')","(0.6486701829458956, 'LastAnnotation')","(0.6489906806725422, 'Canvas')","(0.653480492254731, 'AnnotationList')","(0.6545418148888675, 'SentimentAnalysis')","(0.657633611745003, 'Categorize')","(0.6577603506430989, 'Assessing')","(0.660063695642667, 'JSON')","(0.6616990657555217, 'Autocomplete')","(0.6617935915194811, 'TextSummary')","(0.6625259284113336, 'MoodleComment')","(0.6670974674975566, 'Commenting')","(0.6681031961365701, 'Selector')","(0.6684089379404476, 'ScienceDirect')","(0.6690940021184453, 'DeleteAll')","(0.6696642926701959, 'ImportCodebook')","(0.6698455700898129, 'MoodleReport')","(0.6704635813259097, 'ImportAnnotations')","(0.6714238692472678, 'Multivalued')","(0.6716768285345986, 'BrowserStorage')","(0.6719099109377279, 'SuggestedLiterature')","(0.6723498033060623, 'Classifying')","(0.6727718504884227, 'MoodleConsumer')","(0.6737512772767967, 'BuiltIn')","(0.6745624956490772, 'MoodleResource')","(0.6746396909827845, 'SidebarNavigation')","(0.6749443921159405, 'Springer')","(0.6758558443886526, 'Update')","(0.6759200867633737, 'Delete')","(0.6759835689866969, 'Create')","(0.6761926764807888, 'Hierarchy')","(0.6765932336147131, 'GoogleSheetProvider')","(0.6773195515154626, 'ExportCodebook')","(0.6775433046801826, 'CodebookDelete')","(0.6783244529839167, 'Hosting')","(0.6784082586642092, 'Manual')","(0.6789511854785848, 'Codebook')","(0.6811612484005047, 'UserFilter')","(0.6826977223004365, 'GoogleSheetConsumer')","(0.6832961241110461, 'CodebookUpdate')","(0.6834106423045834, 'RenameCodebook')","(0.6848338252805575, 'ApplicationBased')","(0.6850872913796712, 'AnnotationServer')","(0.6869110462386856, 'MoodleProvider')","(1, 'HTML')"
Update,"(4.851479801041961e-08, 'Delete')","(1.9194610800540257e-07, 'Create')","(0.0003634803961755299, 'UserFilter')","(0.10717399801003771, 'DeleteAll')","(0.24571829012454371, 'Remote')","(0.3269777306621035, 'ImportAnnotations')","(0.3694694792045212, 'Replying')","(0.37837364026624315, 'JSON')","(0.38974030766775813, 'SidebarNavigation')","(0.3933348509760469, 'Selector')","(0.45447986303727567, 'Commenting')","(0.4783585084720561, 'LastAnnotation')","(0.4968783768361944, 'Autocomplete')","(0.5028199012460152, 'Canvas')","(0.5209529957948453, 'Multivalued')","(0.555318365968215, 'MoodleReport')","(0.5580998088966607, 'AnnotationList')","(0.5595368765049376, 'MoodleResource')","(0.5800824371675456, 'BuiltIn')","(0.5944525669625572, 'CodebookDelete')","(0.597185009770532, 'BrowserStorage')","(0.6226830525259952, 'ACM')","(0.6226830525259952, 'Alphabetical')","(0.6226830525259952, 'AnnotatedPDF')","(0.6236804987734543, 'ImportCodebook')","(0.6361751072542846, 'Hierarchy')","(0.6606846451237698, 'URL')","(0.6663499704069545, 'MoodleResourceBased')","(0.669744378068108, 'WebAnnotationClient')","(0.6700717001532621, 'Number')","(0.6740229991687632, 'Date')","(0.6758558443886526, 'HTML')","(0.6767964732718177, 'Export')","(0.6771853601232998, 'PDF')","(0.6794776200408893, 'TXT')","(0.6808712144602275, 'SentimentAnalysis')","(0.6812701446873959, 'Assessing')","(0.6821696681218123, 'Categorize')","(0.6823981657555067, 'URN')","(0.6824216488953958, 'TextSummary')","(0.6826333126636068, 'MoodleComment')","(0.6835684634588822, 'Dropbox')","(0.6850978727063329, 'Neo4J')","(0.6854244159763058, 'DOI')","(0.6857630664226286, 'MoodleConsumer')","(0.6857704152596924, 'ScienceDirect')","(0.6861105110585626, 'SuggestedLiterature')","(0.6864933550598713, 'Springer')","(0.6866359649289865, 'PreviousAssignments')","(0.6874230425993793, 'Classifying')","(0.6884516616564976, 'Hosting')","(0.6890740943792923, 'Codebook')","(0.6891138685974397, 'ExportCodebook')","(0.6894959596068498, 'GoogleSheetProvider')","(0.6895018955387437, 'GoogleSheetConsumer')","(0.6898278881934401, 'RenameCodebook')","(0.6899421531087009, 'Manual')","(0.6901257904816875, 'Hypothesis')","(0.690518634214715, 'ApplicationBased')","(0.6906482007171606, 'AnnotationServer')","(0.6909744769227657, 'CodebookUpdate')","(0.6916595746006731, 'MoodleProvider')","(1, 'Update')"
Hypothesis,"(0.019830712702093124, 'HTML')","(0.1873046291012911, 'Remote')","(0.19301013818655507, 'Neo4J')","(0.2653410639336553, 'PDF')","(0.30809256831462717, 'DOI')","(0.3885352183202704, 'URN')","(0.46370001426173957, 'TXT')","(0.47900267979162015, 'Dropbox')","(0.512890886704932, 'PreviousAssignments')","(0.5811757649894493, 'Replying')","(0.6377689831889154, 'ACM')","(0.6377689831889154, 'Alphabetical')","(0.6377689831889154, 'AnnotatedPDF')","(0.6722974211209554, 'URL')","(0.6771311042367409, 'MoodleResourceBased')","(0.6797933852017206, 'WebAnnotationClient')","(0.6798698541418295, 'Number')","(0.6827743850079551, 'Date')","(0.6846643086621984, 'Export')","(0.6863374167382292, 'Canvas')","(0.6867277866115618, 'LastAnnotation')","(0.6872863005606659, 'SentimentAnalysis')","(0.6873805682274613, 'Assessing')","(0.6875017636468718, 'AnnotationList')","(0.6880049629687877, 'TextSummary')","(0.6880892155807987, 'Categorize')","(0.688116340080424, 'MoodleComment')","(0.6884652503760054, 'JSON')","(0.6892021188620592, 'Commenting')","(0.6895295790441971, 'Autocomplete')","(0.6896503493822463, 'MoodleConsumer')","(0.6898596530543639, 'ScienceDirect')","(0.6899010148890565, 'SuggestedLiterature')","(0.689983156325305, 'Springer')","(0.6901257904816875, 'Update')","(0.6901359298224419, 'Delete')","(0.6901459612415124, 'Create')","(0.6901705711955433, 'DeleteAll')","(0.6902137308808669, 'Selector')","(0.6902214410419835, 'ImportAnnotations')","(0.6904548737731422, 'MoodleReport')","(0.6906399547092414, 'Classifying')","(0.6907867783099406, 'BrowserStorage')","(0.6908053418490518, 'MoodleResource')","(0.6909410857177294, 'Hosting')","(0.6909642088106193, 'ImportCodebook')","(0.6909712436261862, 'SidebarNavigation')","(0.6910207245520164, 'Multivalued')","(0.6910272347120412, 'UserFilter')","(0.6912529823850727, 'Codebook')","(0.6912997959948974, 'CodebookDelete')","(0.6913300845590704, 'GoogleSheetConsumer')","(0.691360058752847, 'ExportCodebook')","(0.691372403572462, 'BuiltIn')","(0.6914820715684578, 'RenameCodebook')","(0.691640581322289, 'GoogleSheetProvider')","(0.6917724829338552, 'Hierarchy')","(0.6918011016353538, 'Manual')","(0.6918169035941031, 'ApplicationBased')","(0.6918822728328469, 'AnnotationServer')","(0.6921984995968229, 'CodebookUpdate')","(0.6924365707457287, 'MoodleProvider')","(1, 'Hypothesis')"
