QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Delete,"(1.8779355489543754e-07, 'Create')","(1.225884720958006e-05, 'Update')","(0.0004084244875885685, 'UserFilter')","(0.17414447658236565, 'DeleteAll')","(0.4957227796652266, 'Replying')","(0.5050309595184258, 'Selector')","(0.5517690808712491, 'Remote')","(0.5554679376489009, 'Autocomplete')","(0.5578474401117433, 'SidebarNavigation')","(0.6333081228488577, 'CodebookDelete')","(0.6464224615229283, 'Hierarchy')","(0.6688016652028906, 'URL')","(0.6700354248948894, 'Alphabetical')","(0.6761722507387758, 'Date')","(0.6765342149859508, 'Number')","(0.6781063355344106, 'HTML')","(0.6795701985560725, 'Export')","(0.6803860706885161, 'Assessing')","(0.6805545997765862, 'TXT')","(0.6809298744576566, 'PDF')","(0.6817461808332701, 'Canvas')","(0.6818362730948738, 'Hypothesis')","(0.6822035884240247, 'LastAnnotation')","(0.6824811778228478, 'TextSummary')","(0.6833067009842211, 'SentimentAnalysis')","(0.683310713754521, 'MoodleComment')","(0.6836716868266848, 'AnnotationList')","(0.6839291274099601, 'Categorize')","(0.6847327504635994, 'Dropbox')","(0.6859124287045789, 'URN')","(0.6860830475636053, 'JSON')","(0.6865121783119974, 'Commenting')","(0.6865690503104969, 'DOI')","(0.6871118049623801, 'MoodleConsumer')","(0.6874639572046735, 'SuggestedLiterature')","(0.687489467483489, 'Neo4J')","(0.6875536926916721, 'ScienceDirect')","(0.6879351768835601, 'ImportAnnotations')","(0.6879409223920854, 'ACM')","(0.6879714306827454, 'MoodleReport')","(0.6884423087280092, 'Springer')","(0.6884619253247946, 'AnnotatedPDF')","(0.6885859336216706, 'Classifying')","(0.6886018507423448, 'Codebook')","(0.6887251811046715, 'ImportCodebook')","(0.6890774782328626, 'PreviousAssignments')","(0.6892611658309085, 'ExportCodebook')","(0.6893630188153075, 'BrowserStorage')","(0.6897673613072648, 'Multivalued')","(0.6898712098076001, 'MoodleResource')","(0.6899027466913425, 'BuiltIn')","(0.6900355299490355, 'Manual')","(0.6903703999810844, 'RenameCodebook')","(0.6904497956859317, 'AnnotationServer')","(0.6905181960061322, 'GoogleSheetConsumer')","(0.6908389280041478, 'ApplicationBased')","(0.6909949610931516, 'GoogleSheetProvider')","(0.6910711627460595, 'CodebookUpdate')","(0.6919710719528668, 'MoodleProvider')","(1, 'Delete')"
ScienceDirect,"(0.02583158181615633, 'DOI')","(0.07701547973382376, 'ACM')","(0.0771559279948326, 'Springer')","(0.13823718682332892, 'PreviousAssignments')","(0.15338314327247116, 'Dropbox')","(0.4895022263600578, 'AnnotationServer')","(0.496645045775994, 'Hypothesis')","(0.5016632889206004, 'Remote')","(0.5040209222949814, 'Autocomplete')","(0.5092621332489429, 'Neo4J')","(0.5444463440420277, 'URL')","(0.5687467112127556, 'Canvas')","(0.5809690387839077, 'TXT')","(0.5949992510055531, 'Manual')","(0.5961133731109106, 'TextSummary')","(0.613926528849871, 'GoogleSheetProvider')","(0.6549286051891883, 'BrowserStorage')","(0.6640963566451119, 'Alphabetical')","(0.672795344572724, 'SuggestedLiterature')","(0.674094579908901, 'Date')","(0.6743008934653455, 'Number')","(0.6766440281187232, 'HTML')","(0.6790604429218572, 'Export')","(0.6798501128137502, 'Assessing')","(0.6805773403006075, 'PDF')","(0.6822193384112853, 'LastAnnotation')","(0.6835742382847592, 'MoodleComment')","(0.6840605988671642, 'SentimentAnalysis')","(0.6842709092290739, 'AnnotationList')","(0.6843012883915297, 'Categorize')","(0.6864923863027383, 'URN')","(0.6868902542571169, 'JSON')","(0.687115286045975, 'Commenting')","(0.6871951092656657, 'Update')","(0.6875093920323296, 'Create')","(0.6875536926916721, 'Delete')","(0.6877215518045887, 'MoodleConsumer')","(0.6880923891608239, 'DeleteAll')","(0.6886781149584944, 'Selector')","(0.6888798320011076, 'ImportAnnotations')","(0.6889318008141042, 'MoodleReport')","(0.6890345857567337, 'AnnotatedPDF')","(0.6893452488888285, 'Classifying')","(0.6895053337141926, 'SidebarNavigation')","(0.6895751573979496, 'Replying')","(0.6896112655617157, 'UserFilter')","(0.689658387518191, 'Codebook')","(0.689808923845445, 'ImportCodebook')","(0.6902186301467277, 'ExportCodebook')","(0.6903493411504766, 'MoodleResource')","(0.6904072191637516, 'Multivalued')","(0.6906287660005371, 'CodebookDelete')","(0.6906817414867025, 'BuiltIn')","(0.6908074877047756, 'RenameCodebook')","(0.691041972429468, 'Hierarchy')","(0.6910720773074894, 'GoogleSheetConsumer')","(0.6912364296728633, 'ApplicationBased')","(0.6916132239353676, 'CodebookUpdate')","(0.6922800163354865, 'MoodleProvider')","(1, 'ScienceDirect')"
TextSummary,"(0.1345659939344437, 'Canvas')","(0.15523421152694178, 'LastAnnotation')","(0.1628478277384109, 'AnnotatedPDF')","(0.2630910452695434, 'AnnotationList')","(0.3397528577837343, 'Dropbox')","(0.34049112351964583, 'URN')","(0.3516323103032495, 'JSON')","(0.45915074608628326, 'TXT')","(0.4651454153904926, 'ImportAnnotations')","(0.4712764869175453, 'DeleteAll')","(0.4797245344212312, 'MoodleReport')","(0.5596616777404485, 'SentimentAnalysis')","(0.5694498995437715, 'PreviousAssignments')","(0.5920196742805541, 'ACM')","(0.5928975751394674, 'Springer')","(0.5933107716856811, 'DOI')","(0.5948136445356987, 'Export')","(0.5961133731109106, 'ScienceDirect')","(0.599010594801856, 'Alphabetical')","(0.6065820196295224, 'Autocomplete')","(0.6207774684929808, 'ImportCodebook')","(0.631313848123668, 'MoodleComment')","(0.635505133478516, 'GoogleSheetConsumer')","(0.6359458086362357, 'URL')","(0.6416985084787707, 'ExportCodebook')","(0.6440220322856516, 'MoodleResource')","(0.6459775133057168, 'Codebook')","(0.6561749116531322, 'Date')","(0.6565159247476953, 'Remote')","(0.6570159926084468, 'Number')","(0.659379705470919, 'BuiltIn')","(0.6612153666635774, 'HTML')","(0.6657843863799169, 'Multivalued')","(0.6671674058567503, 'Assessing')","(0.6685545162015568, 'PDF')","(0.6758815424271689, 'Categorize')","(0.6761727586269586, 'Manual')","(0.6815939954928786, 'Commenting')","(0.6817558503105632, 'Update')","(0.6823917475036032, 'Create')","(0.6824811778228478, 'Delete')","(0.6828194949257844, 'MoodleConsumer')","(0.6832838532831904, 'Neo4J')","(0.6834633237723365, 'SuggestedLiterature')","(0.6837448976554024, 'Selector')","(0.6837595854818037, 'Hypothesis')","(0.685330670731306, 'SidebarNavigation')","(0.6854236394588884, 'Classifying')","(0.6859300775627584, 'Replying')","(0.686525047400937, 'UserFilter')","(0.6868621601606995, 'BrowserStorage')","(0.6877096285474422, 'Hierarchy')","(0.6879616517211008, 'CodebookDelete')","(0.6885119920559148, 'AnnotationServer')","(0.6886948229319299, 'RenameCodebook')","(0.6893169502746641, 'GoogleSheetProvider')","(0.689421072958843, 'CodebookUpdate')","(0.6894211530739877, 'ApplicationBased')","(0.6910347065300632, 'MoodleProvider')","(1, 'TextSummary')"
MoodleConsumer,"(0.0019389021390994363, 'MoodleProvider')","(0.31852238254525506, 'SentimentAnalysis')","(0.34204043509955295, 'Neo4J')","(0.3915272462793913, 'TXT')","(0.5821506154486766, 'Dropbox')","(0.5907207380695985, 'Hypothesis')","(0.6694111108156255, 'URL')","(0.6706358125288918, 'Alphabetical')","(0.6766574500549143, 'Date')","(0.6769999129267601, 'Number')","(0.6785348692785627, 'HTML')","(0.6799721398445709, 'Export')","(0.680755004673224, 'Assessing')","(0.6812835853563299, 'PDF')","(0.682084262708021, 'Canvas')","(0.682520206891385, 'LastAnnotation')","(0.6828194949257844, 'TextSummary')","(0.6835936243615941, 'MoodleComment')","(0.6838963483024603, 'Remote')","(0.6839532926547883, 'AnnotationList')","(0.6841927247045975, 'Categorize')","(0.6858609257723787, 'Autocomplete')","(0.6861127959494542, 'URN')","(0.6862877669068284, 'JSON')","(0.6866934156354829, 'Commenting')","(0.686768993189877, 'Update')","(0.6867775663851097, 'DOI')","(0.6870691606519224, 'Create')","(0.6871118049623801, 'Delete')","(0.687272976784072, 'DeleteAll')","(0.6876210581251709, 'SuggestedLiterature')","(0.6877215518045887, 'ScienceDirect')","(0.6878929770582864, 'Selector')","(0.6880777455664661, 'ACM')","(0.6880928536809119, 'ImportAnnotations')","(0.6881293360812297, 'MoodleReport')","(0.688564239817163, 'Springer')","(0.688583283869473, 'AnnotatedPDF')","(0.6887161578002522, 'Classifying')","(0.6887526189693733, 'Codebook')","(0.688757037877392, 'SidebarNavigation')","(0.6888760735370658, 'ImportCodebook')","(0.6889766924440426, 'Replying')","(0.6891783853734702, 'UserFilter')","(0.6892019271723011, 'PreviousAssignments')","(0.6893922515851081, 'ExportCodebook')","(0.6894680496057881, 'BrowserStorage')","(0.6898645764831702, 'Multivalued')","(0.6899540385040942, 'MoodleResource')","(0.6900093243401502, 'BuiltIn')","(0.6901260679206146, 'CodebookDelete')","(0.6901480353384895, 'Manual')","(0.6903043886777624, 'Hierarchy')","(0.6904411297967041, 'RenameCodebook')","(0.6905327684749617, 'AnnotationServer')","(0.6905964423848621, 'GoogleSheetConsumer')","(0.690899249891674, 'ApplicationBased')","(0.6910671577718754, 'GoogleSheetProvider')","(0.6911421705229994, 'CodebookUpdate')","(1, 'MoodleConsumer')"
LastAnnotation,"(0.003976060695840504, 'AnnotatedPDF')","(0.02195447851273067, 'Canvas')","(0.15240361186445428, 'AnnotationList')","(0.15523421152694178, 'TextSummary')","(0.373937472125835, 'JSON')","(0.4292356136905422, 'DeleteAll')","(0.457982884065515, 'Dropbox')","(0.4889651053091131, 'MoodleReport')","(0.517097139673101, 'ImportAnnotations')","(0.5418000026147305, 'SentimentAnalysis')","(0.628527743756762, 'GoogleSheetConsumer')","(0.6479666862647316, 'URL')","(0.6495484267741528, 'Alphabetical')","(0.6603140288491602, 'Date')","(0.6615124838676558, 'Number')","(0.6645229716688617, 'HTML')","(0.6668797861969851, 'Export')","(0.6669180520300229, 'TXT')","(0.6690346012795227, 'Assessing')","(0.6701317017731598, 'PDF')","(0.674231056135666, 'Remote')","(0.6749817273962238, 'MoodleComment')","(0.6762409986309897, 'Categorize')","(0.6775202750347629, 'Autocomplete')","(0.6798302777793845, 'DOI')","(0.6802122531011855, 'URN')","(0.6811961812261643, 'Hypothesis')","(0.6813780564456594, 'Commenting')","(0.6815281428030284, 'Update')","(0.6820324996330999, 'Neo4J')","(0.6821200589010747, 'Create')","(0.6822035884240247, 'Delete')","(0.6822193384112853, 'ScienceDirect')","(0.6825135196784353, 'Selector')","(0.682520206891385, 'MoodleConsumer')","(0.6828621382052547, 'SuggestedLiterature')","(0.6833555203832011, 'Codebook')","(0.6833671934824473, 'ImportCodebook')","(0.6840536277051255, 'ACM')","(0.6840659629968937, 'SidebarNavigation')","(0.6844767327882036, 'Classifying')","(0.6846341621817216, 'ExportCodebook')","(0.6849185550125167, 'PreviousAssignments')","(0.6849513927155764, 'Springer')","(0.6850316971194494, 'Replying')","(0.6859303266696766, 'Manual')","(0.686047811479671, 'UserFilter')","(0.686049513123799, 'BrowserStorage')","(0.6861303210771318, 'BuiltIn')","(0.6862199566086136, 'Hierarchy')","(0.6865651828478688, 'Multivalued')","(0.6871236381254437, 'CodebookDelete')","(0.6873679557581441, 'MoodleResource')","(0.6875505278967458, 'AnnotationServer')","(0.6881570049690291, 'RenameCodebook')","(0.6883542132151459, 'GoogleSheetProvider')","(0.6884533838280895, 'CodebookUpdate')","(0.6888688999167525, 'ApplicationBased')","(0.6904595012516448, 'MoodleProvider')","(1, 'LastAnnotation')"
Manual,"(0.048507378022342354, 'RenameCodebook')","(0.05610312731093009, 'CodebookDelete')","(0.12036883227492666, 'ExportCodebook')","(0.3021535775208773, 'ImportCodebook')","(0.40315437572959767, 'DeleteAll')","(0.43177283165886327, 'Neo4J')","(0.4910223870486078, 'TXT')","(0.5053635563429719, 'Hypothesis')","(0.533946998050628, 'CodebookUpdate')","(0.5403513202307608, 'Codebook')","(0.5521738965939788, 'AnnotationServer')","(0.5599792153342528, 'Remote')","(0.5949992510055531, 'ScienceDirect')","(0.600083900251605, 'DOI')","(0.6024014498463592, 'ApplicationBased')","(0.6056112178089472, 'BuiltIn')","(0.6262462368731425, 'PreviousAssignments')","(0.6320243419265126, 'GoogleSheetProvider')","(0.6623246519541581, 'BrowserStorage')","(0.6658890614012611, 'ACM')","(0.666140737022741, 'Springer')","(0.6668730717357647, 'URL')","(0.6672583358588605, 'Dropbox')","(0.6693021236443372, 'Alphabetical')","(0.6733151595455272, 'Canvas')","(0.6743402900429782, 'Autocomplete')","(0.6761727586269586, 'TextSummary')","(0.6788121152883685, 'Date')","(0.6788429693872307, 'Number')","(0.6810038927241755, 'HTML')","(0.6833579389983371, 'Export')","(0.6838859131083671, 'Assessing')","(0.6845229022426125, 'PDF')","(0.6859303266696766, 'LastAnnotation')","(0.6870518566950199, 'MoodleComment')","(0.6876353921002043, 'Categorize')","(0.6877484035740222, 'SentimentAnalysis')","(0.6877802919552276, 'AnnotationList')","(0.6892959360949691, 'URN')","(0.6897303259430589, 'JSON')","(0.6897358047525954, 'Commenting')","(0.689791000400441, 'Update')","(0.6900056270907498, 'Create')","(0.6900355299490355, 'Delete')","(0.6901480353384895, 'MoodleConsumer')","(0.6905371880665305, 'SuggestedLiterature')","(0.6909828919156085, 'AnnotatedPDF')","(0.6910118728974362, 'Selector')","(0.6911375948929825, 'ImportAnnotations')","(0.6911802575819583, 'MoodleReport')","(0.6913048431628888, 'Classifying')","(0.691323855044983, 'UserFilter')","(0.6914228173954724, 'Replying')","(0.691490370121483, 'SidebarNavigation')","(0.6917389411512451, 'MoodleResource')","(0.6918776253759438, 'Multivalued')","(0.692218097316083, 'GoogleSheetConsumer')","(0.692391225771697, 'Hierarchy')","(0.6927828462818044, 'MoodleProvider')","(1, 'Manual')"
Assessing,"(0.0015917984012854191, 'Categorize')","(0.004318065852340794, 'Commenting')","(0.008430578001234807, 'SuggestedLiterature')","(0.04968987502309437, 'Replying')","(0.07991549475124247, 'Selector')","(0.15908065917297387, 'SentimentAnalysis')","(0.23550244597196707, 'Classifying')","(0.27490154968069697, 'AnnotationList')","(0.2949568258070244, 'Autocomplete')","(0.5219386685739126, 'SidebarNavigation')","(0.5813367672152571, 'TXT')","(0.6002824621802278, 'Hypothesis')","(0.638662089266054, 'URL')","(0.6404083160482004, 'Alphabetical')","(0.6535622667047969, 'Date')","(0.6552354074268811, 'Number')","(0.6589521059151988, 'HTML')","(0.6616501454613472, 'Export')","(0.6658636219399492, 'PDF')","(0.6671674058567503, 'TextSummary')","(0.6672450751427239, 'Canvas')","(0.6690346012795227, 'LastAnnotation')","(0.6702650254512725, 'Remote')","(0.6717835515176247, 'MoodleComment')","(0.672099603254796, 'Dropbox')","(0.6768207024246439, 'DOI')","(0.6774706465695314, 'JSON')","(0.6780478644802819, 'URN')","(0.6786675257435937, 'DeleteAll')","(0.6795951527330235, 'Neo4J')","(0.6795963422279727, 'Update')","(0.6798501128137502, 'ScienceDirect')","(0.6802886041022497, 'Create')","(0.6803860706885161, 'Delete')","(0.6804681970764144, 'MoodleReport')","(0.6805306763046797, 'ImportAnnotations')","(0.680730163681529, 'ImportCodebook')","(0.680755004673224, 'MoodleConsumer')","(0.6808195016606524, 'Codebook')","(0.6823786652802998, 'ExportCodebook')","(0.6825298102763409, 'ACM')","(0.6829732874934732, 'PreviousAssignments')","(0.6835591009127095, 'Springer')","(0.6835986567205482, 'AnnotatedPDF')","(0.6838859131083671, 'Manual')","(0.6842367265038565, 'Hierarchy')","(0.6842798883281758, 'BuiltIn')","(0.6845750408492757, 'BrowserStorage')","(0.684805520147079, 'UserFilter')","(0.6850771301829317, 'Multivalued')","(0.6857735013328169, 'CodebookDelete')","(0.6861343770798642, 'AnnotationServer')","(0.686289415921568, 'MoodleResource')","(0.6865545108589561, 'GoogleSheetConsumer')","(0.6870219151807232, 'GoogleSheetProvider')","(0.6871254970714672, 'CodebookUpdate')","(0.687166670093495, 'RenameCodebook')","(0.6879512360434747, 'ApplicationBased')","(0.6896752532262584, 'MoodleProvider')","(1, 'Assessing')"
HTML,"(0.6265641639281679, 'URL')","(0.6285161617212423, 'Alphabetical')","(0.6315537256967227, 'Hypothesis')","(0.6449738681801739, 'Date')","(0.6473568224635654, 'Number')","(0.6529616946137444, 'TXT')","(0.6550698486332998, 'Export')","(0.6589521059151988, 'Assessing')","(0.6606212857851568, 'PDF')","(0.6612153666635774, 'TextSummary')","(0.6620711555929857, 'Canvas')","(0.6645229716688617, 'LastAnnotation')","(0.6650907571650931, 'Remote')","(0.6652469234559111, 'SentimentAnalysis')","(0.6669022210269084, 'Dropbox')","(0.6674483437362313, 'AnnotationList')","(0.6678735673899805, 'MoodleComment')","(0.6688185096605852, 'Autocomplete')","(0.6697138413931405, 'Categorize')","(0.6727659658030283, 'DOI')","(0.6742394440023178, 'JSON')","(0.6751674540467835, 'DeleteAll')","(0.675368795192851, 'URN')","(0.6762865077231777, 'Neo4J')","(0.6766440281187232, 'ScienceDirect')","(0.6769801515376034, 'Commenting')","(0.6770031600135218, 'Selector')","(0.6770062922937341, 'ImportCodebook')","(0.6771858343382346, 'Update')","(0.677235180363577, 'MoodleReport')","(0.6772673302224306, 'Codebook')","(0.6773768548965846, 'ImportAnnotations')","(0.6779929632270195, 'Create')","(0.6781063355344106, 'Delete')","(0.6785348692785627, 'MoodleConsumer')","(0.6786137931760069, 'SuggestedLiterature')","(0.6790537316389145, 'SidebarNavigation')","(0.6792168778868366, 'ExportCodebook')","(0.6801547789058849, 'Classifying')","(0.6802826167535947, 'PreviousAssignments')","(0.6805824883770496, 'ACM')","(0.6810038927241755, 'Manual')","(0.6810164528849347, 'Replying')","(0.6814428649239517, 'Hierarchy')","(0.6816734057900908, 'BuiltIn')","(0.6817588988075658, 'Springer')","(0.6818039378842271, 'AnnotatedPDF')","(0.6825734675460529, 'BrowserStorage')","(0.6830171268889167, 'Multivalued')","(0.68317176221569, 'UserFilter')","(0.6839099977214516, 'CodebookDelete')","(0.6841355021617581, 'AnnotationServer')","(0.6847596409198198, 'GoogleSheetConsumer')","(0.6848357055891255, 'MoodleResource')","(0.6851211480364009, 'GoogleSheetProvider')","(0.685227472388271, 'CodebookUpdate')","(0.6858092175624542, 'RenameCodebook')","(0.686672703851158, 'ApplicationBased')","(0.6885406956152307, 'MoodleProvider')","(1, 'HTML')"
Update,"(9.413047248863214e-06, 'Create')","(1.225884720958006e-05, 'Delete')","(0.0005588288007173051, 'UserFilter')","(0.17401365741404204, 'DeleteAll')","(0.4955697271912548, 'Replying')","(0.5047829588344643, 'Selector')","(0.551205152335722, 'Remote')","(0.5550176328210177, 'Autocomplete')","(0.5576326403250801, 'SidebarNavigation')","(0.6331714186908404, 'CodebookDelete')","(0.6462348065155471, 'Hierarchy')","(0.6674818774635518, 'URL')","(0.6687355748754411, 'Alphabetical')","(0.6751266948669004, 'Date')","(0.6755319282472225, 'Number')","(0.6771858343382346, 'HTML')","(0.6787075879016367, 'Export')","(0.6795963422279727, 'Assessing')","(0.679662628549536, 'TXT')","(0.680173455994509, 'PDF')","(0.6810233512624841, 'Canvas')","(0.6814426796395323, 'Hypothesis')","(0.6815281428030284, 'LastAnnotation')","(0.6817558503105632, 'TextSummary')","(0.6826637978867525, 'SentimentAnalysis')","(0.6827085816719844, 'MoodleComment')","(0.6830712574168619, 'AnnotationList')","(0.6833688660313737, 'Categorize')","(0.684150614722019, 'Dropbox')","(0.6854884096574364, 'URN')","(0.6856479607300099, 'JSON')","(0.6861223406762924, 'DOI')","(0.6861290792502506, 'Commenting')","(0.686768993189877, 'MoodleConsumer')","(0.687124248146489, 'Neo4J')","(0.6871311435762, 'SuggestedLiterature')","(0.6871951092656657, 'ScienceDirect')","(0.6875978024885627, 'ImportAnnotations')","(0.6876332546269484, 'MoodleReport')","(0.6876521694602928, 'ACM')","(0.6881849566167059, 'Springer')","(0.688205777887337, 'AnnotatedPDF')","(0.6882763922686127, 'Codebook')","(0.6883082374680819, 'Classifying')","(0.6883986518992117, 'ImportCodebook')","(0.6888102432013063, 'PreviousAssignments')","(0.6889776202250119, 'ExportCodebook')","(0.6891391067990591, 'BrowserStorage')","(0.6895591071642688, 'Multivalued')","(0.6896722228781009, 'BuiltIn')","(0.6896956559589625, 'MoodleResource')","(0.689791000400441, 'Manual')","(0.6902199441360852, 'RenameCodebook')","(0.6902707363485567, 'AnnotationServer')","(0.6903497390456935, 'GoogleSheetConsumer')","(0.6907099746299594, 'ApplicationBased')","(0.6908381621918536, 'GoogleSheetProvider')","(0.6909167725721304, 'CodebookUpdate')","(0.6918837815767592, 'MoodleProvider')","(1, 'Update')"
Hypothesis,"(0.16969684870021567, 'AnnotationServer')","(0.17983281278694352, 'Neo4J')","(0.2264342352508559, 'Remote')","(0.4034273392439317, 'ApplicationBased')","(0.4187474831316369, 'BuiltIn')","(0.44043279073352826, 'TXT')","(0.4673181572831366, 'Codebook')","(0.496645045775994, 'ScienceDirect')","(0.505125909399686, 'DOI')","(0.5053635563429719, 'Manual')","(0.5058077200926192, 'GoogleSheetProvider')","(0.5439311264868153, 'SentimentAnalysis')","(0.5476290799430567, 'ImportCodebook')","(0.5907207380695985, 'MoodleConsumer')","(0.5944788208686096, 'MoodleProvider')","(0.6002824621802278, 'Assessing')","(0.6042074423142397, 'SuggestedLiterature')","(0.6054663335927286, 'Categorize')","(0.6084560285789229, 'Commenting')","(0.6087531670008576, 'Replying')","(0.6101147314838978, 'Selector')","(0.6227642030013706, 'AnnotationList')","(0.6237995441682934, 'Autocomplete')","(0.6245630002948201, 'Classifying')","(0.6315537256967227, 'HTML')","(0.6332990184962031, 'URL')","(0.6366245837646958, 'BrowserStorage')","(0.6390222061488016, 'Dropbox')","(0.6450688256171814, 'GoogleSheetConsumer')","(0.6472779988335585, 'SidebarNavigation')","(0.6541588830844514, 'Alphabetical')","(0.6694498954892136, 'Date')","(0.669499013752143, 'Number')","(0.6727287687432217, 'Hierarchy')","(0.6769162293212366, 'Export')","(0.6788475930561294, 'PDF')","(0.6809347033168294, 'Canvas')","(0.6811961812261643, 'LastAnnotation')","(0.6814426796395323, 'Update')","(0.6817881455769483, 'Create')","(0.6818362730948738, 'Delete')","(0.6830780388466994, 'MoodleComment')","(0.6833544924639261, 'DeleteAll')","(0.6837595854818037, 'TextSummary')","(0.6839041477923928, 'UserFilter')","(0.6868710014307675, 'URN')","(0.6876134817817661, 'JSON')","(0.6882491231866456, 'CodebookDelete')","(0.6892142237160825, 'ACM')","(0.6897168513236207, 'Springer')","(0.6897359496401836, 'AnnotatedPDF')","(0.6900070093050253, 'ImportAnnotations')","(0.69007942231946, 'MoodleReport')","(0.6909527732157212, 'PreviousAssignments')","(0.6910072254343916, 'MoodleResource')","(0.6912403946902421, 'Multivalued')","(0.6913978834382644, 'ExportCodebook')","(0.6914164448845106, 'RenameCodebook')","(0.6922779318344947, 'CodebookUpdate')","(1, 'Hypothesis')"
