,ACM,Alphabetical,AnnotatedPDF,AnnotationList,AnnotationServer,ApplicationBased,Assessing,Autocomplete,BrowserStorage,BuiltIn,Canvas,Categorize,Classifying,Codebook,CodebookDelete,CodebookUpdate,Commenting,Create,Date,Delete,DeleteAll,DOI,Dropbox,Export,ExportCodebook,GoogleSheetConsumer,GoogleSheetProvider,Hierarchy,HTML,Hypothesis,ImportAnnotations,ImportCodebook,JSON,LastAnnotation,Manual,MoodleComment,MoodleConsumer,MoodleProvider,MoodleReport,MoodleResource,Multivalued,Neo4J,Number,PDF,PreviousAssignments,Remote,RenameCodebook,Replying,ScienceDirect,Selector,SentimentAnalysis,SidebarNavigation,Springer,SuggestedLiterature,TextSummary,TXT,Update,URL,URN,UserFilter
AnnotationList,0,0,2,,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1
Autocomplete,0,0,0,0,0,0,1,,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Classifying,0,0,0,0,0,0,1,0,0,2,0,1,,3,0,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Codebook,0,1,0,0,0,2,0,1,0,2,0,0,3,,3,3,0,0,2,0,0,0,0,0,3,2,2,3,0,0,0,3,0,0,0,0,2,2,2,0,3,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
CodebookUpdate,0,0,0,0,0,1,0,0,0,1,0,0,2,3,1,,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Commenting,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,3,0,2,3,0,0,2,0,0,0,0,0,0
DeleteAll,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Export,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,,3,2,1,0,0,0,3,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ExportCodebook,0,0,2,2,0,0,0,0,0,1,1,0,0,3,3,2,0,0,1,0,0,0,0,3,,1,0,2,0,0,2,2,2,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hierarchy,0,2,0,0,0,0,0,1,0,2,0,0,3,3,0,3,3,2,1,0,0,0,0,0,2,2,2,,0,0,0,3,2,0,0,0,0,2,3,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
ImportAnnotations,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ImportCodebook,0,0,0,0,0,0,0,0,0,3,1,0,0,3,3,3,0,2,0,0,0,0,0,2,2,2,2,3,0,0,3,,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
JSON,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,3,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MoodleReport,0,0,1,1,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,1,0,0,1,2,2,0,3,0,0,0,0,0,1,0,2,3,2,,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Multivalued,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Neo4J,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Replying,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,,0,2,2,0,0,0,0,0,3,0,0,0
Selector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,,0,0,0,0,0,3,0,2,2,0
SidebarNavigation,0,0,1,1,0,0,0,0,0,0,3,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
TextSummary,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,2,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0
