QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(8.91570581836359e-08, 'Create')","(0.0005700703614693833, 'UserFilter')","(0.1166618812873418, 'DeleteAll')","(0.18837741893436746, 'JSON')","(0.27623923781811366, 'ImportAnnotations')","(0.38027039072059954, 'Remote')","(0.43676245613013626, 'Replying')","(0.45412600249645163, 'SidebarNavigation')","(0.5120930774983368, 'Autocomplete')","(0.5173088723526493, 'Neo4J')","(0.5466147366782261, 'Selector')","(0.5563240198268876, 'ImportCodebook')","(0.5665178803004443, 'Multivalued')","(0.5954313626840604, 'BuiltIn')","(0.6051891786530428, 'CodebookDelete')","(0.6187913542053536, 'URL')","(0.6308773927507217, 'Hierarchy')","(0.6316221588416688, 'ExportCodebook')","(0.6523018961270137, 'WebAnnotationClient')","(0.6578036932454084, 'Alphabetical')","(0.6578036932454084, 'Number')","(0.6614447083869606, 'MoodleResourceBased')","(0.6677124189638368, 'Date')","(0.6733594610232684, 'Export')","(0.6749810103390684, 'HTML')","(0.6769246103687987, 'AnnotationList')","(0.6771554714097516, 'PDF')","(0.6775328208534153, 'Assessing')","(0.6778105504969951, 'Canvas')","(0.6778105504969951, 'LastAnnotation')","(0.6792657422323962, 'TXT')","(0.6794559406647702, 'URN')","(0.680254731328128, 'SentimentAnalysis')","(0.6802946727111776, 'TextSummary')","(0.6805593631122965, 'MoodleComment')","(0.6808271585468093, 'Categorize')","(0.6828401529010483, 'Commenting')","(0.6831737537377085, 'Dropbox')","(0.6847859999321029, 'ScienceDirect')","(0.6848340695103396, 'SuggestedLiterature')","(0.6853515175108074, 'DOI')","(0.6853515175108074, 'MoodleConsumer')","(0.6855020909669007, 'AnnotatedPDF')","(0.6858924244304665, 'MoodleReport')","(0.6860247403733843, 'ACM')","(0.6860779866964615, 'Springer')","(0.6867074246141708, 'Classifying')","(0.6868048907004342, 'PreviousAssignments')","(0.6869126233928615, 'MoodleResource')","(0.6870035232247984, 'Codebook')","(0.6875649774952318, 'Hosting')","(0.6876590715825419, 'ApplicationBased')","(0.6885326273439678, 'BrowserStorage')","(0.6889765764597673, 'AnnotationServer')","(0.6891635469280142, 'GoogleSheetProvider')","(0.6894176223414736, 'RenameCodebook')","(0.689470037920366, 'GoogleSheetConsumer')","(0.6896217506030028, 'Manual')","(0.6897680362821257, 'Hypothesis')","(0.6901758595217217, 'MoodleProvider')","(0.6907166177707855, 'CodebookUpdate')","(1, 'Delete')","(1, 'Update')"
ScienceDirect,"(0.05247459365643898, 'Dropbox')","(0.052777772841711146, 'DOI')","(0.36586870813222827, 'TXT')","(0.46966660484221584, 'WebAnnotationClient')","(0.47232409056407587, 'Hosting')","(0.48738208267226135, 'AnnotationServer')","(0.52837613431026, 'GoogleSheetProvider')","(0.5677210832675286, 'ApplicationBased')","(0.5721329872897651, 'Replying')","(0.5810265087043389, 'URL')","(0.5882989990554637, 'MoodleProvider')","(0.6131084907432413, 'BuiltIn')","(0.6133999491064139, 'Codebook')","(0.63018231634854, 'Manual')","(0.6436225012844172, 'Alphabetical')","(0.6436225012844172, 'Number')","(0.648663925251826, 'BrowserStorage')","(0.6495196108775907, 'Multivalued')","(0.6495407598706113, 'MoodleResourceBased')","(0.6506910642853165, 'ImportCodebook')","(0.6596069032423919, 'Date')","(0.6683704830936952, 'Export')","(0.670794868156686, 'HTML')","(0.6736272080067256, 'AnnotationList')","(0.6744077310776644, 'PDF')","(0.6744949995653461, 'Assessing')","(0.6748881108693219, 'Canvas')","(0.6748881108693219, 'LastAnnotation')","(0.6775793279540079, 'URN')","(0.6782564339252383, 'SentimentAnalysis')","(0.6785297098807499, 'TextSummary')","(0.6788781218722503, 'MoodleComment')","(0.6792210545174173, 'Categorize')","(0.6805070767236332, 'JSON')","(0.6807834184932304, 'Remote')","(0.6818043701853176, 'Commenting')","(0.6822486937313222, 'Autocomplete')","(0.6837009331209902, 'Selector')","(0.6840044185468963, 'Neo4J')","(0.6842328092783467, 'SuggestedLiterature')","(0.6847042893766708, 'MoodleConsumer')","(0.6847859999321029, 'Delete')","(0.6847859999321029, 'Update')","(0.6848260348960344, 'Create')","(0.6850373961708267, 'AnnotatedPDF')","(0.6852602690640863, 'DeleteAll')","(0.6852858512389841, 'ImportAnnotations')","(0.6854975116717206, 'ACM')","(0.6855597031444784, 'Springer')","(0.6857086745733844, 'MoodleReport')","(0.6863305166553739, 'SidebarNavigation')","(0.6865246245244474, 'Classifying')","(0.686623610502739, 'PreviousAssignments')","(0.6868458334546261, 'MoodleResource')","(0.688009109965946, 'UserFilter')","(0.6883175377994704, 'ExportCodebook')","(0.6890113920353335, 'CodebookDelete')","(0.6892619192338005, 'Hierarchy')","(0.6893150127180805, 'RenameCodebook')","(0.6893718821416722, 'GoogleSheetConsumer')","(0.6896941166643331, 'Hypothesis')","(0.690778098352337, 'CodebookUpdate')","(1, 'ScienceDirect')"
TextSummary,"(0.06538156554041136, 'URN')","(0.14698768411511082, 'AnnotationList')","(0.14719321716947042, 'Canvas')","(0.14719321716947042, 'LastAnnotation')","(0.15378907240439382, 'ACM')","(0.15385056216504672, 'Springer')","(0.19320738395595394, 'Hosting')","(0.2717247933607344, 'TXT')","(0.27794775564474916, 'SentimentAnalysis')","(0.31318855785440447, 'PDF')","(0.3144992291771755, 'AnnotatedPDF')","(0.31816172108236096, 'JSON')","(0.38526941042695284, 'Neo4J')","(0.41284575336763074, 'DeleteAll')","(0.44881445348929955, 'Categorize')","(0.49674853921974177, 'Commenting')","(0.49867297937602295, 'SuggestedLiterature')","(0.5126270624742285, 'ImportAnnotations')","(0.5283883919817185, 'Replying')","(0.5540855903966594, 'URL')","(0.564898152952601, 'Manual')","(0.5832274135426394, 'Selector')","(0.5907642946888534, 'Autocomplete')","(0.6100426583842615, 'BrowserStorage')","(0.6132521081388489, 'BuiltIn')","(0.6141488184186575, 'WebAnnotationClient')","(0.6194823448971307, 'ApplicationBased')","(0.6214400884265545, 'ImportCodebook')","(0.6246423779062859, 'Alphabetical')","(0.6246423779062859, 'Number')","(0.6317235618883543, 'MoodleResourceBased')","(0.6442081058041689, 'Date')","(0.6557910160709368, 'Export')","(0.6591643977939006, 'HTML')","(0.6644874830936214, 'Assessing')","(0.6704496988174407, 'MoodleComment')","(0.6728371864062682, 'Remote')","(0.6760063500280242, 'Dropbox')","(0.6785297098807499, 'ScienceDirect')","(0.6799735329908593, 'MoodleReport')","(0.6801674218885978, 'DOI')","(0.6801674218885978, 'MoodleConsumer')","(0.6802946727111776, 'Delete')","(0.6802946727111776, 'Update')","(0.680356990792647, 'Create')","(0.680367321568806, 'SidebarNavigation')","(0.6813055095775682, 'Codebook')","(0.6817144577890495, 'MoodleResource')","(0.6817525984246172, 'Classifying')","(0.68196912881726, 'Multivalued')","(0.6819708206412987, 'PreviousAssignments')","(0.6841953201302942, 'ExportCodebook')","(0.685073549509708, 'Hierarchy')","(0.6852039758417773, 'UserFilter')","(0.6852393352426995, 'AnnotationServer')","(0.6853339493893555, 'GoogleSheetProvider')","(0.686109337104557, 'CodebookDelete')","(0.6868822755666836, 'MoodleProvider')","(0.6870918623437916, 'RenameCodebook')","(0.6871721779280435, 'GoogleSheetConsumer')","(0.6876238997004824, 'Hypothesis')","(0.6884354851628821, 'CodebookUpdate')","(1, 'TextSummary')"
MoodleConsumer,"(0.05747260852370546, 'MoodleResourceBased')","(0.6184115134315199, 'URL')","(0.652000934536247, 'WebAnnotationClient')","(0.6575245341655458, 'Alphabetical')","(0.6575245341655458, 'Number')","(0.6674850693552723, 'Date')","(0.6731723953521458, 'Export')","(0.6748074107454989, 'HTML')","(0.6767683595665541, 'AnnotationList')","(0.6769935881688876, 'PDF')","(0.6773822681458144, 'Assessing')","(0.6776626413241553, 'Canvas')","(0.6776626413241553, 'LastAnnotation')","(0.6791244516602882, 'TXT')","(0.6793169211549165, 'URN')","(0.6801311286907818, 'SentimentAnalysis')","(0.6801674218885978, 'TextSummary')","(0.6804349162222112, 'MoodleComment')","(0.6807057132613921, 'Categorize')","(0.6816943014114452, 'JSON')","(0.6817763173164524, 'Remote')","(0.6826125468183726, 'Autocomplete')","(0.68274004932524, 'Commenting')","(0.6830809866802124, 'Dropbox')","(0.6838185097891842, 'Replying')","(0.6838580854137364, 'Selector')","(0.6844301378861506, 'Neo4J')","(0.6847042893766708, 'ScienceDirect')","(0.6847552473717968, 'SuggestedLiterature')","(0.6852819518191735, 'DOI')","(0.6853515175108074, 'Delete')","(0.6853515175108074, 'Update')","(0.6853856440673596, 'Create')","(0.6854217632982965, 'DeleteAll')","(0.685429647800559, 'AnnotatedPDF')","(0.6855305541752752, 'ImportAnnotations')","(0.6858166964440373, 'MoodleReport')","(0.6859621616520217, 'ACM')","(0.6860159540552218, 'Springer')","(0.6861828435888644, 'BuiltIn')","(0.6862838446659074, 'SidebarNavigation')","(0.6865766353664371, 'ImportCodebook')","(0.6866433166625969, 'Classifying')","(0.686742170194558, 'PreviousAssignments')","(0.686846602475323, 'MoodleResource')","(0.6869328624334559, 'Codebook')","(0.6871865149967883, 'Multivalued')","(0.6875091627122569, 'Hosting')","(0.6875912046177245, 'ApplicationBased')","(0.6881876373280761, 'UserFilter')","(0.6882457534124613, 'ExportCodebook')","(0.6884898889855322, 'BrowserStorage')","(0.6889304398632191, 'AnnotationServer')","(0.6890264295524502, 'CodebookDelete')","(0.6890774297832933, 'Hierarchy')","(0.6891164995021904, 'GoogleSheetProvider')","(0.6893865456956771, 'RenameCodebook')","(0.689439374962725, 'GoogleSheetConsumer')","(0.6895813868666171, 'Manual')","(0.6897396684560742, 'Hypothesis')","(0.6901367214472363, 'MoodleProvider')","(0.6906889085250223, 'CodebookUpdate')","(1, 'MoodleConsumer')"
LastAnnotation,"(8.90856579500404e-05, 'AnnotationList')","(0.006035131660813525, 'ACM')","(0.006100396739578933, 'Springer')","(0.060331163440668564, 'Hosting')","(0.10824233398290216, 'URN')","(0.14719321716947042, 'TextSummary')","(0.17170453948265546, 'TXT')","(0.22813978447208028, 'AnnotatedPDF')","(0.22827780634192937, 'PDF')","(0.23406200934034327, 'JSON')","(0.32165971894025114, 'Neo4J')","(0.40425380524116217, 'Categorize')","(0.4573421718329204, 'DeleteAll')","(0.4660528178239236, 'SuggestedLiterature')","(0.48255417120876426, 'ImportAnnotations')","(0.5454791628045929, 'Manual')","(0.5612466338152424, 'URL')","(0.6091215370380942, 'WebAnnotationClient')","(0.6185090807402808, 'Alphabetical')","(0.6185090807402808, 'Number')","(0.6251101319798151, 'MoodleResourceBased')","(0.6373903690365322, 'Date')","(0.6496412274287988, 'Export')","(0.6533716872129327, 'HTML')","(0.659393740883927, 'Assessing')","(0.6657088298569904, 'MoodleComment')","(0.6659184584076557, 'SentimentAnalysis')","(0.6675196350238972, 'Autocomplete')","(0.6679831931905322, 'Remote')","(0.669034660938502, 'Replying')","(0.6702335075214174, 'Selector')","(0.6710897263689637, 'Commenting')","(0.672459167806265, 'BuiltIn')","(0.6728016396967325, 'Dropbox')","(0.6748881108693219, 'ScienceDirect')","(0.6753800022241673, 'ImportCodebook')","(0.6758277387885326, 'SidebarNavigation')","(0.6758474073542713, 'MoodleReport')","(0.6767813156526006, 'Codebook')","(0.6775021288917928, 'ApplicationBased')","(0.6776626413241553, 'DOI')","(0.6776626413241553, 'MoodleConsumer')","(0.6778105504969951, 'Delete')","(0.6778105504969951, 'Update')","(0.6778604863582797, 'Multivalued')","(0.6778829633073129, 'Create')","(0.6778884819973472, 'MoodleResource')","(0.6783854505537612, 'Classifying')","(0.6787062331888272, 'PreviousAssignments')","(0.6810499862394757, 'ExportCodebook')","(0.6817027988700253, 'Hierarchy')","(0.6821688301801221, 'GoogleSheetProvider')","(0.682210760308955, 'AnnotationServer')","(0.6830269080781393, 'BrowserStorage')","(0.6834552374159557, 'UserFilter')","(0.6839816378090531, 'MoodleProvider')","(0.683996335820904, 'CodebookDelete')","(0.6855816626870075, 'RenameCodebook')","(0.6856714054386965, 'GoogleSheetConsumer')","(0.6861749287403784, 'Hypothesis')","(0.6865072989723708, 'CodebookUpdate')","(1, 'Canvas')","(1, 'LastAnnotation')"
Manual,"(0.05120734454503421, 'RenameCodebook')","(0.06374561635612605, 'CodebookDelete')","(0.11996226409212485, 'ExportCodebook')","(0.15867186507891062, 'ApplicationBased')","(0.20013649098421626, 'ImportCodebook')","(0.2375272298125331, 'BuiltIn')","(0.32266494095997245, 'Codebook')","(0.4598238845449567, 'DeleteAll')","(0.5174842741303981, 'Hosting')","(0.54503146649701, 'AnnotationList')","(0.5454791628045929, 'Canvas')","(0.5454791628045929, 'LastAnnotation')","(0.5489328306505233, 'ACM')","(0.5489509663566572, 'Springer')","(0.5531973403220334, 'PreviousAssignments')","(0.553750095873315, 'WebAnnotationClient')","(0.5599519013617171, 'URN')","(0.564898152952601, 'TextSummary')","(0.5681305121966365, 'TXT')","(0.575093509316084, 'PDF')","(0.5770981992174942, 'AnnotatedPDF')","(0.5771933034692868, 'JSON')","(0.5836581098221972, 'CodebookUpdate')","(0.5901811941589818, 'AnnotationServer')","(0.5913417153145573, 'Neo4J')","(0.593878070232412, 'Selector')","(0.5946201182863187, 'URL')","(0.604803292257539, 'Categorize')","(0.6177587212577591, 'SuggestedLiterature')","(0.621891195180857, 'ImportAnnotations')","(0.6225710032218739, 'MoodleResource')","(0.6259317555991255, 'MoodleProvider')","(0.63018231634854, 'ScienceDirect')","(0.6324204683179278, 'GoogleSheetProvider')","(0.6567404389436204, 'Alphabetical')","(0.6567404389436204, 'Number')","(0.6622611548930322, 'MoodleResourceBased')","(0.6629154138317739, 'Multivalued')","(0.6713152723437283, 'Date')","(0.6771882472831349, 'Hierarchy')","(0.6786633339759905, 'Export')","(0.6805648126591197, 'HTML')","(0.683317243364143, 'Assessing')","(0.6858850427373735, 'SentimentAnalysis')","(0.6865442117650764, 'MoodleComment')","(0.6879187935086717, 'Remote')","(0.6881781620122422, 'Dropbox')","(0.6882708130053306, 'Commenting')","(0.6892884819683534, 'Autocomplete')","(0.689581386866617, 'DOI')","(0.6895813868666171, 'MoodleConsumer')","(0.6896217506030028, 'Delete')","(0.6896217506030028, 'Update')","(0.6896414673066312, 'Create')","(0.6902490274911626, 'Replying')","(0.6905999992825252, 'MoodleReport')","(0.6907976258281452, 'Classifying')","(0.6910262354039405, 'SidebarNavigation')","(0.6910919737544661, 'UserFilter')","(0.6914210488712013, 'BrowserStorage')","(0.6916593585948809, 'GoogleSheetConsumer')","(0.6917920545770504, 'Hypothesis')","(1, 'Manual')"
Assessing,"(0.0007583551641990471, 'HTML')","(0.05436623855505843, 'SuggestedLiterature')","(0.07148518316633871, 'Commenting')","(0.07284897950188912, 'Categorize')","(0.183138012106506, 'Selector')","(0.23393779667657974, 'PDF')","(0.274207717453435, 'Replying')","(0.3787840276661241, 'Classifying')","(0.4146257818659864, 'SidebarNavigation')","(0.448502228640418, 'TXT')","(0.4688248149396007, 'URN')","(0.4747749861739672, 'Autocomplete')","(0.5586188227113702, 'URL')","(0.5806679171415207, 'Multivalued')","(0.5822952726200255, 'MoodleReport')","(0.6072430377774818, 'WebAnnotationClient')","(0.6096804565013472, 'Hierarchy')","(0.6168288276294343, 'Alphabetical')","(0.6168288276294343, 'Number')","(0.6235789018898403, 'MoodleResourceBased')","(0.6361549099040504, 'Date')","(0.6487160140304462, 'Export')","(0.6572294814212631, 'AnnotationList')","(0.659393740883927, 'Canvas')","(0.659393740883927, 'LastAnnotation')","(0.6644874830936214, 'TextSummary')","(0.6651451855991042, 'MoodleComment')","(0.6653944476281493, 'SentimentAnalysis')","(0.6674363797963145, 'Remote')","(0.6681141871650026, 'JSON')","(0.6718127715555866, 'BuiltIn')","(0.6724278188676656, 'Dropbox')","(0.6734026611483742, 'Neo4J')","(0.6744949995653461, 'ScienceDirect')","(0.6746536816331075, 'DeleteAll')","(0.674864369766141, 'ImportCodebook')","(0.6756313423433389, 'ImportAnnotations')","(0.6763152468056568, 'Codebook')","(0.6764781347441589, 'AnnotatedPDF')","(0.6770316243357293, 'ApplicationBased')","(0.6773822681458144, 'DOI')","(0.6773822681458144, 'MoodleConsumer')","(0.6774913341099369, 'MoodleResource')","(0.6775328208534153, 'Delete')","(0.6775328208534153, 'Update')","(0.677606523206799, 'Create')","(0.678363424789085, 'PreviousAssignments')","(0.6788358253518235, 'ACM')","(0.6789489594215339, 'Springer')","(0.6798272624910935, 'Hosting')","(0.6807273479815216, 'ExportCodebook')","(0.6818459221592517, 'GoogleSheetProvider')","(0.6818981542494231, 'AnnotationServer')","(0.6827927545359439, 'BrowserStorage')","(0.6832678632661882, 'UserFilter')","(0.683317243364143, 'Manual')","(0.683683900822053, 'MoodleProvider')","(0.6837765472688602, 'CodebookDelete')","(0.6854221486020081, 'RenameCodebook')","(0.6855129788252861, 'GoogleSheetConsumer')","(0.6860224596509086, 'Hypothesis')","(0.6863091414524349, 'CodebookUpdate')","(1, 'Assessing')"
HTML,"(0.0007583551641990471, 'Assessing')","(0.05749493080348366, 'SuggestedLiterature')","(0.07355214570810507, 'Commenting')","(0.07393460356189986, 'Categorize')","(0.18225370491795095, 'Selector')","(0.23060660420148338, 'PDF')","(0.27160339509861003, 'Replying')","(0.37821866018467487, 'Classifying')","(0.41253871905874573, 'SidebarNavigation')","(0.4441708150580938, 'TXT')","(0.4644750688549374, 'URN')","(0.4704176094035267, 'Autocomplete')","(0.533196991879989, 'URL')","(0.577660940670047, 'Multivalued')","(0.5791857343823833, 'MoodleReport')","(0.5894052357841092, 'WebAnnotationClient')","(0.6009743930611342, 'Alphabetical')","(0.6009743930611342, 'Number')","(0.6072566935958978, 'Hierarchy')","(0.6092055118742012, 'MoodleResourceBased')","(0.6246888556180272, 'Date')","(0.6402386772126418, 'Export')","(0.6507246765203529, 'AnnotationList')","(0.6533716872129327, 'Canvas')","(0.6533716872129327, 'LastAnnotation')","(0.6591643977939006, 'TextSummary')","(0.6599591765349212, 'MoodleComment')","(0.6606504760102032, 'SentimentAnalysis')","(0.66232508878406, 'Remote')","(0.6634829951420163, 'JSON')","(0.6654702578524715, 'BuiltIn')","(0.6690312469908746, 'Dropbox')","(0.6692918624772026, 'Neo4J')","(0.6698270711123763, 'ImportCodebook')","(0.6703942911423675, 'DeleteAll')","(0.670794868156686, 'ScienceDirect')","(0.6717600767469015, 'Codebook')","(0.6718103252914487, 'ImportAnnotations')","(0.6724226586924851, 'ApplicationBased')","(0.6732307728298572, 'AnnotatedPDF')","(0.67364144850089, 'MoodleResource')","(0.6748074107454989, 'DOI')","(0.6748074107454989, 'MoodleConsumer')","(0.6749810103390684, 'Delete')","(0.6749810103390684, 'Update')","(0.6750659511285035, 'Create')","(0.6750703869988182, 'PreviousAssignments')","(0.6764783536031513, 'ACM')","(0.6766079187909633, 'Springer')","(0.6767251588801804, 'Hosting')","(0.6775955675903864, 'ExportCodebook')","(0.6786859181839282, 'GoogleSheetProvider')","(0.6788273003435544, 'AnnotationServer')","(0.6805372327549537, 'BrowserStorage')","(0.6805648126591197, 'Manual')","(0.6807345913896765, 'MoodleProvider')","(0.6814968897045406, 'UserFilter')","(0.6816494582364516, 'CodebookDelete')","(0.683889146477562, 'RenameCodebook')","(0.6839892380479482, 'GoogleSheetConsumer')","(0.6843551598768487, 'CodebookUpdate')","(0.6845494185307799, 'Hypothesis')","(1, 'HTML')"
Update,"(8.915705818461814e-08, 'Create')","(0.0005700703614693838, 'UserFilter')","(0.11666188128734178, 'DeleteAll')","(0.18837741893436746, 'JSON')","(0.27623923781811366, 'ImportAnnotations')","(0.38027039072059954, 'Remote')","(0.4367624561301364, 'Replying')","(0.45412600249645163, 'SidebarNavigation')","(0.5120930774983368, 'Autocomplete')","(0.5173088723526493, 'Neo4J')","(0.5466147366782261, 'Selector')","(0.5563240198268876, 'ImportCodebook')","(0.5665178803004443, 'Multivalued')","(0.5954313626840604, 'BuiltIn')","(0.6051891786530428, 'CodebookDelete')","(0.6187913542053535, 'URL')","(0.6308773927507217, 'Hierarchy')","(0.6316221588416688, 'ExportCodebook')","(0.6523018961270137, 'WebAnnotationClient')","(0.6578036932454084, 'Alphabetical')","(0.6578036932454084, 'Number')","(0.6614447083869606, 'MoodleResourceBased')","(0.6677124189638368, 'Date')","(0.6733594610232684, 'Export')","(0.6749810103390684, 'HTML')","(0.6769246103687987, 'AnnotationList')","(0.6771554714097516, 'PDF')","(0.6775328208534153, 'Assessing')","(0.6778105504969951, 'Canvas')","(0.6778105504969951, 'LastAnnotation')","(0.6792657422323962, 'TXT')","(0.6794559406647702, 'URN')","(0.680254731328128, 'SentimentAnalysis')","(0.6802946727111776, 'TextSummary')","(0.6805593631122966, 'MoodleComment')","(0.6808271585468092, 'Categorize')","(0.6828401529010483, 'Commenting')","(0.6831737537377085, 'Dropbox')","(0.6847859999321029, 'ScienceDirect')","(0.6848340695103396, 'SuggestedLiterature')","(0.6853515175108074, 'DOI')","(0.6853515175108074, 'MoodleConsumer')","(0.6855020909669007, 'AnnotatedPDF')","(0.6858924244304665, 'MoodleReport')","(0.6860247403733843, 'ACM')","(0.6860779866964615, 'Springer')","(0.6867074246141708, 'Classifying')","(0.6868048907004342, 'PreviousAssignments')","(0.6869126233928615, 'MoodleResource')","(0.6870035232247984, 'Codebook')","(0.6875649774952318, 'Hosting')","(0.6876590715825419, 'ApplicationBased')","(0.6885326273439678, 'BrowserStorage')","(0.6889765764597673, 'AnnotationServer')","(0.6891635469280142, 'GoogleSheetProvider')","(0.6894176223414736, 'RenameCodebook')","(0.689470037920366, 'GoogleSheetConsumer')","(0.6896217506030028, 'Manual')","(0.6897680362821257, 'Hypothesis')","(0.6901758595217217, 'MoodleProvider')","(0.6907166177707855, 'CodebookUpdate')","(1, 'Delete')","(1, 'Update')"
Hypothesis,"(0.16510233673497848, 'Remote')","(0.17305009002948268, 'Neo4J')","(0.523221004942006, 'AnnotationServer')","(0.5647835589858783, 'MoodleResource')","(0.5850856933858536, 'Autocomplete')","(0.5920708090283496, 'Replying')","(0.6375714065426139, 'URL')","(0.6676041471202789, 'WebAnnotationClient')","(0.6721392654745796, 'Alphabetical')","(0.6721392654745796, 'Number')","(0.675031560346211, 'MoodleResourceBased')","(0.679732490749754, 'Date')","(0.6835490835845821, 'Export')","(0.6845494185307799, 'HTML')","(0.6856830864898409, 'AnnotationList')","(0.6860224596509086, 'Assessing')","(0.6861339289817621, 'PDF')","(0.6861749287403784, 'Canvas')","(0.6861749287403784, 'LastAnnotation')","(0.6872495030275119, 'TXT')","(0.6873323136288315, 'URN')","(0.687448336598938, 'SentimentAnalysis')","(0.6876238997004824, 'TextSummary')","(0.6877503141084054, 'MoodleComment')","(0.6878714802687811, 'Categorize')","(0.6883398179652633, 'JSON')","(0.6887944030615216, 'Commenting')","(0.6888131791669032, 'Dropbox')","(0.6896401276993409, 'SuggestedLiterature')","(0.6896871659669002, 'Selector')","(0.6896941166643331, 'ScienceDirect')","(0.6897396684560742, 'DOI')","(0.6897396684560742, 'MoodleConsumer')","(0.6897680362821257, 'Delete')","(0.6897680362821257, 'Update')","(0.6897819373079694, 'Create')","(0.6899287243867217, 'AnnotatedPDF')","(0.6900154456756513, 'ACM')","(0.6900371242086425, 'Springer')","(0.6900810638320334, 'ImportAnnotations')","(0.6901226611487483, 'DeleteAll')","(0.6902846520541132, 'MoodleReport')","(0.6905148520141662, 'Classifying')","(0.6905434737665654, 'PreviousAssignments')","(0.6905785317741395, 'SidebarNavigation')","(0.6908167579756472, 'ImportCodebook')","(0.690856836557179, 'Hosting')","(0.6908727371999485, 'Codebook')","(0.6909110657644363, 'UserFilter')","(0.690918509704197, 'BuiltIn')","(0.6909237897653117, 'Multivalued')","(0.6911446547539029, 'BrowserStorage')","(0.6912317079164495, 'ExportCodebook')","(0.6912334212937343, 'ApplicationBased')","(0.6913718990979267, 'CodebookDelete')","(0.6914134271724377, 'RenameCodebook')","(0.6914363690767027, 'GoogleSheetConsumer')","(0.6916723956005619, 'GoogleSheetProvider')","(0.6917347186732746, 'Hierarchy')","(0.6917920545770504, 'Manual')","(0.692143015695911, 'MoodleProvider')","(0.6921883932226031, 'CodebookUpdate')","(1, 'Hypothesis')"
