Feature,1,2,3,4,5
AnnotationServer,BrowserStorage,-,-,-,-
ApplicationBased,Codebook,BuiltIn,Manual,CodebookUpdate,ImportCodebook
Autocomplete,Hierarchy,Codebook,Classifying,-,-
BrowserStorage,AnnotationServer,-,-,-,-
BuiltIn,Codebook,Hierarchy,CodebookUpdate,ApplicationBased,AnnotationServer
Classifying,Codebook,Hierarchy,MultiValued,-,-
Codebook,Hierarchy,CodebookUpdate,BuiltIn,ApplicationBased,ExportCodebook
CodebookDelete,Codebook,DeleteAll,ExportCodebook,Manual,RenameCodebook
CodebookUpdate,Codebook,Hierarchy,Classifying,CodebookDelete,RenameCodebook
Date,Hierarchy,Codebook,SidebarNavigation,ImportCodebook,ExportCodebook
DeleteAll,CodebookDelete,-,-,-,-
Export,ExportCodebook,ImportCodebook,-,-,-
ExportCodebook,Export,Codebook,Manual,RenameCodebook,CodebookDelete
Hierarchy,Codebook,CodebookUpdate,Classifying,MultiValued,CodebookUpdate
ImportCodebook,Codebook,ExportCodebook,Hierarchy,CodebookUpdate,Export
Manual,Codebook,ExportCodebook,CodebookDelete,RenameCodebook,ImportCodebook
MoodleReport,Classifying,Codebook,ExportCodebook,-,-
MultiValued,Hierarchy,Classifying,Codebook,SidebarNavigation,-
RenameCodebook,Codebook,ImportCodebook,ExportCodebook,CodebookUpdate,Manual
SidebarNavigation,Codebook,Hierarchy,-,-,-
