QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(5.8178061114419715e-08, 'Update')","(4.999056517431643e-07, 'Create')","(0.0003334676682722668, 'UserFilter')","(0.11236007168877588, 'DeleteAll')","(0.15847217238010786, 'JSON')","(0.22956713869860326, 'ImportAnnotations')","(0.4235934486761393, 'Remote')","(0.44549158824525364, 'Neo4J')","(0.4607642490799798, 'Replying')","(0.4885111891506416, 'Autocomplete')","(0.4973995177089471, 'ImportCodebook')","(0.5196145470844888, 'AnnotatedPDF')","(0.5357969767595173, 'SidebarNavigation')","(0.5373636655224019, 'BuiltIn')","(0.5389380925926884, 'MoodleReport')","(0.5671061221559559, 'Selector')","(0.5956617514352649, 'CodebookDelete')","(0.6019951951768823, 'ApplicationBased')","(0.6217302272669485, 'ACM')","(0.6217302272669485, 'URL')","(0.6281738315160892, 'MoodleResource')","(0.6365662628337085, 'PreviousAssignments')","(0.6421908862277173, 'ExportCodebook')","(0.6599756856990068, 'MoodleResourceBased')","(0.6599756856990069, 'Alphabetical')","(0.6599756856990069, 'Number')","(0.6634883385610362, 'WebAnnotationClient')","(0.669488865588481, 'Date')","(0.6707515541082312, 'HTML')","(0.6743264417078483, 'PDF')","(0.6758869476588142, 'Export')","(0.6784858210743954, 'TXT')","(0.6789772686062125, 'Canvas')","(0.6790983990308828, 'Assessing')","(0.6794778671962907, 'LastAnnotation')","(0.6802480301175204, 'URN')","(0.6803078320938031, 'SentimentAnalysis')","(0.6804102590710334, 'MoodleComment')","(0.6808158140860507, 'Categorize')","(0.6809085968306454, 'AnnotationList')","(0.6813009316348961, 'TextSummary')","(0.6827195196744633, 'Dropbox')","(0.6838200190200345, 'Commenting')","(0.6843956812881518, 'SuggestedLiterature')","(0.6848368116069663, 'DOI')","(0.6851215605987151, 'MoodleConsumer')","(0.685232784029639, 'ScienceDirect')","(0.6861214539206714, 'Springer')","(0.6872744658106625, 'Classifying')","(0.6879468757357686, 'Codebook')","(0.6880006042975966, 'Hypothesis')","(0.6882753141159493, 'BrowserStorage')","(0.6882912063193619, 'Hosting')","(0.6884603614320424, 'GoogleSheetProvider')","(0.6891993893962143, 'Hierarchy')","(0.6893693227068314, 'GoogleSheetConsumer')","(0.68950581140731, 'Manual')","(0.6896015605412511, 'RenameCodebook')","(0.6896571724187843, 'Multivalued')","(0.6899403626536057, 'MoodleProvider')","(0.6905410645676346, 'AnnotationServer')","(0.6914210080600587, 'CodebookUpdate')","(1, 'Delete')"
ScienceDirect,"(0.008164411811698361, 'DOI')","(0.10816115935157464, 'Dropbox')","(0.11692853082975782, 'Hosting')","(0.17003547007826447, 'Canvas')","(0.17168239139235747, 'Springer')","(0.17505564384147793, 'TXT')","(0.19472118209029537, 'Neo4J')","(0.20582868394708487, 'URN')","(0.20755993857965616, 'LastAnnotation')","(0.23179250268857127, 'Hypothesis')","(0.26956492677141336, 'TextSummary')","(0.26958804150655513, 'PreviousAssignments')","(0.31512422504371385, 'AnnotatedPDF')","(0.31616400921103394, 'AnnotationList')","(0.3337505824020848, 'GoogleSheetProvider')","(0.3576769015591529, 'PDF')","(0.3591921402462459, 'JSON')","(0.36236771352988967, 'WebAnnotationClient')","(0.37379303472784864, 'AnnotationServer')","(0.4291198851631553, 'SuggestedLiterature')","(0.4326853001636287, 'Remote')","(0.45550756518944596, 'GoogleSheetConsumer')","(0.4807611823353112, 'Categorize')","(0.4816482011594846, 'Manual')","(0.493648237532494, 'ApplicationBased')","(0.5128142149527553, 'ImportAnnotations')","(0.5182536913495178, 'DeleteAll')","(0.5339769380930623, 'BuiltIn')","(0.543186310634331, 'Codebook')","(0.5593369434995243, 'ACM')","(0.5593369434995243, 'URL')","(0.5596987106120905, 'MoodleProvider')","(0.571571467730315, 'MoodleResource')","(0.5786964585421623, 'BrowserStorage')","(0.5798520717185718, 'MoodleReport')","(0.5848001424221583, 'ImportCodebook')","(0.6010031005645139, 'MoodleConsumer')","(0.6199660347309275, 'Autocomplete')","(0.6366412938169901, 'Replying')","(0.6374624296213022, 'MoodleResourceBased')","(0.6374624296213023, 'Alphabetical')","(0.6374624296213023, 'Number')","(0.656446794474308, 'Date')","(0.6588869313319287, 'HTML')","(0.6684651841949669, 'Export')","(0.674273971942738, 'Assessing')","(0.6762353695736106, 'SentimentAnalysis')","(0.6764344477916534, 'MoodleComment')","(0.6816684491135121, 'Commenting')","(0.6840717987460294, 'Selector')","(0.6851988421722451, 'Update')","(0.685232784029639, 'Delete')","(0.6853322509663502, 'Create')","(0.6865087040361673, 'Classifying')","(0.6869196801424137, 'SidebarNavigation')","(0.6877919554286436, 'UserFilter')","(0.6885287787982217, 'ExportCodebook')","(0.6888684063871116, 'CodebookDelete')","(0.6889058903918286, 'Hierarchy')","(0.6891835995693072, 'RenameCodebook')","(0.6892499381672703, 'Multivalued')","(0.6912852523405438, 'CodebookUpdate')","(1, 'ScienceDirect')"
TextSummary,"(0.04919006223386663, 'URN')","(0.14414011926491865, 'Canvas')","(0.1501646943358289, 'Springer')","(0.1645691780964395, 'Hosting')","(0.18059074741480546, 'PDF')","(0.18327518785816904, 'LastAnnotation')","(0.21531240664788065, 'TXT')","(0.24011616654258383, 'Dropbox')","(0.2446535929628316, 'DOI')","(0.2510476331290332, 'PreviousAssignments')","(0.26956492677141336, 'ScienceDirect')","(0.2862604467615441, 'SentimentAnalysis')","(0.2977143676461347, 'AnnotationList')","(0.2985666592057714, 'AnnotatedPDF')","(0.34373808440173936, 'JSON')","(0.3691288661670764, 'Neo4J')","(0.4176040181694924, 'Categorize')","(0.4209582795064426, 'DeleteAll')","(0.4273871727194308, 'SuggestedLiterature')","(0.5045044814438715, 'ImportAnnotations')","(0.5376541606489532, 'Manual')","(0.5533189857675009, 'Hypothesis')","(0.5541523156437937, 'ACM')","(0.5541523156437937, 'URL')","(0.5611462483093494, 'Assessing')","(0.5650314445227109, 'BuiltIn')","(0.5722805829865483, 'MoodleReport')","(0.5732602432603477, 'ApplicationBased')","(0.5765189701518887, 'ImportCodebook')","(0.5818189001967682, 'Commenting')","(0.6246595985193466, 'Alphabetical')","(0.6246595985193466, 'MoodleResourceBased')","(0.6246595985193466, 'Number')","(0.6317373681554921, 'WebAnnotationClient')","(0.6442167627911571, 'Date')","(0.6469135572214781, 'HTML')","(0.6581465670180051, 'Export')","(0.6620885320665313, 'GoogleSheetProvider')","(0.664751457443101, 'Hierarchy')","(0.6680059513580152, 'MoodleComment')","(0.672179284548714, 'Remote')","(0.6750490686998517, 'Autocomplete')","(0.6767928706008192, 'Selector')","(0.6781807440768435, 'MoodleConsumer')","(0.6793648386429787, 'Replying')","(0.6795075068124573, 'MoodleResource')","(0.6812508358918532, 'Update')","(0.6813009316348961, 'Delete')","(0.6814476842447317, 'Create')","(0.6817329555847114, 'Classifying')","(0.6819015077655938, 'SidebarNavigation')","(0.6825478040732249, 'Codebook')","(0.684170293340765, 'BrowserStorage')","(0.6848684184777758, 'ExportCodebook')","(0.6850304484258987, 'UserFilter')","(0.6857575191590273, 'MoodleProvider')","(0.6859663692188732, 'CodebookDelete')","(0.6866019439007076, 'GoogleSheetConsumer')","(0.6869878678417063, 'RenameCodebook')","(0.6870793228776606, 'Multivalued')","(0.6884813643056401, 'AnnotationServer')","(0.6897738665534545, 'CodebookUpdate')","(1, 'TextSummary')"
MoodleConsumer,"(0.06108333260903824, 'MoodleComment')","(0.0932782974926375, 'MoodleResourceBased')","(0.09341644077256245, 'MoodleProvider')","(0.1147259121857626, 'MoodleResource')","(0.254862711453526, 'MoodleReport')","(0.3670103498720282, 'PreviousAssignments')","(0.5069678724255021, 'GoogleSheetProvider')","(0.5283600334909697, 'Autocomplete')","(0.5305400389563927, 'GoogleSheetConsumer')","(0.5715034789994842, 'Dropbox')","(0.5914472146742262, 'ACM')","(0.5914472146742262, 'URL')","(0.5938885277881092, 'DOI')","(0.6010031005645139, 'ScienceDirect')","(0.6241305579281673, 'TXT')","(0.6368719512226484, 'SuggestedLiterature')","(0.6467764113370438, 'Alphabetical')","(0.6467764113370438, 'Number')","(0.651616601903462, 'Hypothesis')","(0.6519976544217763, 'WebAnnotationClient')","(0.6590172275583905, 'ImportCodebook')","(0.6609263426342589, 'Date')","(0.6628009157706418, 'HTML')","(0.6658058056589571, 'ApplicationBased')","(0.6682603731515677, 'PDF')","(0.6703688501530704, 'Export')","(0.6748408461436609, 'Canvas')","(0.6750609922458297, 'Assessing')","(0.6756068746277497, 'LastAnnotation')","(0.6767314593175482, 'URN')","(0.6767717947088372, 'SentimentAnalysis')","(0.6775674160767551, 'Categorize')","(0.6776327618945561, 'AnnotationList')","(0.6781807440768435, 'TextSummary')","(0.6798630141462425, 'Remote')","(0.6802126013678653, 'JSON')","(0.6816308182656119, 'Commenting')","(0.682712607790837, 'Neo4J')","(0.6830027536343238, 'AnnotatedPDF')","(0.6834647621885943, 'Selector')","(0.6844367819644197, 'DeleteAll')","(0.6846633759375564, 'Springer')","(0.6848074006143323, 'ImportAnnotations')","(0.6850013569973689, 'Replying')","(0.6850887648870518, 'Update')","(0.6851215605987151, 'Delete')","(0.6852177409092267, 'Create')","(0.686114641466892, 'Classifying')","(0.6864474126809946, 'SidebarNavigation')","(0.6867124116155405, 'BuiltIn')","(0.6869196972691785, 'Codebook')","(0.6873769597214977, 'BrowserStorage')","(0.6874005696040706, 'Hosting')","(0.6876279859875162, 'UserFilter')","(0.6881675006125585, 'ExportCodebook')","(0.6883554634877738, 'Hierarchy')","(0.6886060580187335, 'CodebookDelete')","(0.6887748374425593, 'Manual')","(0.6890143556300696, 'RenameCodebook')","(0.6890807518392528, 'Multivalued')","(0.6901210231956156, 'AnnotationServer')","(0.6911262731936092, 'CodebookUpdate')","(1, 'MoodleConsumer')"
LastAnnotation,"(0.02420465262221279, 'TXT')","(0.054101303144238826, 'Canvas')","(0.0609426860117481, 'Springer')","(0.06883567837012806, 'AnnotationList')","(0.07830150281710037, 'Hosting')","(0.10007577178129395, 'URN')","(0.1534842986268069, 'PDF')","(0.17194652128672283, 'Dropbox')","(0.17724121225769882, 'DOI')","(0.18327518785816904, 'TextSummary')","(0.1846456069470492, 'PreviousAssignments')","(0.20755993857965616, 'ScienceDirect')","(0.21153378168453352, 'Neo4J')","(0.2419198485087786, 'Categorize')","(0.24274551266953887, 'AnnotatedPDF')","(0.2536140914654861, 'SuggestedLiterature')","(0.29726348474220754, 'JSON')","(0.44780186960140234, 'Assessing')","(0.4561923811297706, 'Commenting')","(0.459822294898355, 'Hypothesis')","(0.48178628261775003, 'Selector')","(0.4846738481820509, 'ImportAnnotations')","(0.48899127588702707, 'Replying')","(0.4901776890346323, 'DeleteAll')","(0.5081283962157894, 'MoodleReport')","(0.5281446821739034, 'Autocomplete')","(0.5351892500412155, 'Classifying')","(0.5424017615424657, 'ACM')","(0.5424017615424657, 'URL')","(0.5477123553710255, 'Manual')","(0.5624913712942861, 'SidebarNavigation')","(0.6146697083919119, 'MoodleResourceBased')","(0.6146697083919124, 'Alphabetical')","(0.6146697083919124, 'Number')","(0.6223933969481894, 'WebAnnotationClient')","(0.6359509137145161, 'Hierarchy')","(0.6363145110816957, 'Date')","(0.6393773498604312, 'HTML')","(0.6523402698295543, 'Export')","(0.6635422039616473, 'SentimentAnalysis')","(0.6637036886638019, 'MoodleComment')","(0.6682851530046736, 'Remote')","(0.6756068746277497, 'MoodleConsumer')","(0.6763064709189874, 'MoodleResource')","(0.6767679690038784, 'ImportCodebook')","(0.67787405295055, 'BuiltIn')","(0.6788014370036834, 'ApplicationBased')","(0.6794203625896953, 'Update')","(0.6794778671962907, 'Delete')","(0.6796462458775379, 'Create')","(0.6796775143527001, 'GoogleSheetProvider')","(0.6799748432796544, 'Codebook')","(0.6824219458604515, 'BrowserStorage')","(0.6829412058140986, 'ExportCodebook')","(0.6836088845093702, 'MoodleProvider')","(0.6837163589014774, 'UserFilter')","(0.6844754308476929, 'CodebookDelete')","(0.6854725871858969, 'GoogleSheetConsumer')","(0.685900660666955, 'RenameCodebook')","(0.6860019044255329, 'Multivalued')","(0.6875436462053957, 'AnnotationServer')","(0.6889448720162767, 'CodebookUpdate')","(1, 'LastAnnotation')"
Manual,"(0.05971323567089189, 'RenameCodebook')","(0.073929257058481, 'CodebookDelete')","(0.12135823230994086, 'ExportCodebook')","(0.13037402126024933, 'ApplicationBased')","(0.17533714569445177, 'ImportCodebook')","(0.17795968951511687, 'BuiltIn')","(0.3039424179183404, 'Codebook')","(0.44744465709614145, 'DeleteAll')","(0.45303101116095124, 'PreviousAssignments')","(0.4816482011594846, 'ScienceDirect')","(0.49235634540194806, 'DOI')","(0.4970651501477038, 'Neo4J')","(0.5071267888520642, 'Hosting')","(0.5133706006454708, 'Hypothesis')","(0.51870203878358, 'GoogleSheetProvider')","(0.5311180496217629, 'URN')","(0.5376541606489532, 'TextSummary')","(0.5403611777761426, 'Canvas')","(0.5433288600605044, 'WebAnnotationClient')","(0.5446702703125818, 'Springer')","(0.5477123553710255, 'LastAnnotation')","(0.5530436703014454, 'TXT')","(0.556159906698909, 'PDF')","(0.5596302439905068, 'Dropbox')","(0.5626406900140841, 'AnnotationServer')","(0.5693123432989475, 'AnnotationList')","(0.5701279630720628, 'MoodleResource')","(0.571274537217761, 'AnnotatedPDF')","(0.5792138115314774, 'JSON')","(0.579370861923762, 'Remote')","(0.5835413666743419, 'ACM')","(0.5835413666743419, 'URL')","(0.5968898869650664, 'Categorize')","(0.5999249352128132, 'SuggestedLiterature')","(0.61809733679336, 'ImportAnnotations')","(0.6223187645482366, 'Selector')","(0.6246626447796916, 'MoodleProvider')","(0.6318606749688795, 'BrowserStorage')","(0.6397362294253655, 'MoodleReport')","(0.6508999833314697, 'Autocomplete')","(0.6514905990559768, 'MoodleResourceBased')","(0.6514905990559772, 'Alphabetical')","(0.6514905990559772, 'Number')","(0.656555601650842, 'SentimentAnalysis')","(0.6593458416698584, 'Replying')","(0.6676498620979588, 'Assessing')","(0.6679267315559068, 'Date')","(0.6699963553859805, 'HTML')","(0.6728502057799919, 'Commenting')","(0.6778937732527017, 'Export')","(0.6841907427516638, 'MoodleComment')","(0.685618002265709, 'Hierarchy')","(0.6887748374425593, 'MoodleConsumer')","(0.6894876517491362, 'Update')","(0.68950581140731, 'Delete')","(0.6895588710062538, 'Create')","(0.6906154760995542, 'Classifying')","(0.6907996106261002, 'UserFilter')","(0.6909515802271239, 'SidebarNavigation')","(0.6913228840435681, 'GoogleSheetConsumer')","(0.6914819522343302, 'Multivalued')","(0.6924360928269933, 'CodebookUpdate')","(1, 'Manual')"
Assessing,"(0.00296711452233778, 'Commenting')","(0.08090498518752026, 'Categorize')","(0.10447057965834416, 'SuggestedLiterature')","(0.16018791786625777, 'Selector')","(0.18005984549138068, 'Replying')","(0.21990066419391224, 'AnnotationList')","(0.2587850065866229, 'PDF')","(0.33603607788101253, 'Autocomplete')","(0.34139997704163366, 'Classifying')","(0.400802657637097, 'TXT')","(0.4243111403187285, 'Neo4J')","(0.4275129751734648, 'SidebarNavigation')","(0.44780186960140234, 'LastAnnotation')","(0.5227099980030778, 'SentimentAnalysis')","(0.5274273787563145, 'Hypothesis')","(0.5430889317501624, 'ACM')","(0.5430889317501624, 'URL')","(0.5611462483093494, 'TextSummary')","(0.5843739933781884, 'MoodleReport')","(0.5914976715140616, 'Hierarchy')","(0.5965020255515598, 'URN')","(0.6132871565530347, 'MoodleResourceBased')","(0.6132871565530356, 'Alphabetical')","(0.6132871565530356, 'Number')","(0.6173470593772514, 'BuiltIn')","(0.6209871081173661, 'WebAnnotationClient')","(0.6213103427522066, 'ImportCodebook')","(0.6213742947808576, 'ApplicationBased')","(0.6270552271148233, 'DeleteAll')","(0.6349814244111471, 'Date')","(0.6380805617828773, 'HTML')","(0.6512718795251143, 'Export')","(0.6595889453752589, 'Canvas')","(0.6628499287026544, 'MoodleComment')","(0.6653470460041894, 'GoogleSheetProvider')","(0.6674615495854881, 'Remote')","(0.6676498620979588, 'Manual')","(0.6683832663855269, 'Dropbox')","(0.6689560050669878, 'JSON')","(0.6733716715212796, 'AnnotatedPDF')","(0.673378975731023, 'DOI')","(0.674273971942738, 'ScienceDirect')","(0.6750609922458297, 'MoodleConsumer')","(0.6753549170110802, 'PreviousAssignments')","(0.6755631255148149, 'MoodleResource')","(0.6765376118688238, 'ImportAnnotations')","(0.678271849563709, 'Springer')","(0.6790395457298724, 'Update')","(0.6790983990308828, 'Delete')","(0.67927071442368, 'Create')","(0.6793688956093733, 'Codebook')","(0.6820247631341116, 'BrowserStorage')","(0.6822031973342462, 'Hosting')","(0.6824884525838696, 'ExportCodebook')","(0.6830931342249256, 'MoodleProvider')","(0.6834294583759497, 'UserFilter')","(0.6841303032781187, 'CodebookDelete')","(0.6852191997988077, 'GoogleSheetConsumer')","(0.6856549102224196, 'RenameCodebook')","(0.6857579270046081, 'Multivalued')","(0.687324947610749, 'AnnotationServer')","(0.6887458115373593, 'CodebookUpdate')","(1, 'Assessing')"
HTML,"(0.4215318983167961, 'PDF')","(0.46807880401308466, 'ACM')","(0.46807880401308466, 'URL')","(0.5351993775509178, 'Replying')","(0.5564490813482428, 'Categorize')","(0.5588151874356515, 'SuggestedLiterature')","(0.5631054948315781, 'MoodleResourceBased')","(0.5631054948315789, 'Alphabetical')","(0.5631054948315789, 'Number')","(0.575343066622788, 'WebAnnotationClient')","(0.5820004989036496, 'URN')","(0.5858251151777762, 'Selector')","(0.5982075653218459, 'Hypothesis')","(0.5984343454099685, 'Date')","(0.6018059588127674, 'ApplicationBased')","(0.6127623491829004, 'Dropbox')","(0.6162500326611077, 'BuiltIn')","(0.6232097224098982, 'Codebook')","(0.6261341486020346, 'Export')","(0.6323446328552006, 'TXT')","(0.6344518514235588, 'PreviousAssignments')","(0.6380805617828773, 'Assessing')","(0.6393773498604312, 'LastAnnotation')","(0.640166146120809, 'Canvas')","(0.643901914791728, 'MoodleComment')","(0.6440344922626957, 'SentimentAnalysis')","(0.6451770412889353, 'AnnotationList')","(0.6469135572214781, 'TextSummary')","(0.6477687179257698, 'MoodleResource')","(0.6486584864544943, 'Remote')","(0.6494035981494088, 'Autocomplete')","(0.6530233832038974, 'JSON')","(0.6530508171507152, 'Neo4J')","(0.6558882484119855, 'MoodleReport')","(0.6559375741088938, 'ImportCodebook')","(0.6576916226354507, 'AnnotatedPDF')","(0.6577146288662971, 'DOI')","(0.6581864358867251, 'Commenting')","(0.6588143101738393, 'DeleteAll')","(0.6588869313319287, 'ScienceDirect')","(0.6615805549042464, 'MoodleProvider')","(0.6616172743388082, 'GoogleSheetProvider')","(0.6620738277624796, 'ImportAnnotations')","(0.6628009157706418, 'MoodleConsumer')","(0.6636312757253772, 'SidebarNavigation')","(0.6648835202720842, 'Classifying')","(0.6650633427272906, 'Hierarchy')","(0.669560365590171, 'Springer')","(0.6699963553859805, 'Manual')","(0.6706671247026659, 'Update')","(0.6707515541082312, 'Delete')","(0.6709984075658797, 'Create')","(0.6714122368422349, 'ExportCodebook')","(0.672518931896235, 'BrowserStorage')","(0.673168921488967, 'Hosting')","(0.675760213574042, 'CodebookDelete')","(0.6767908150343076, 'UserFilter')","(0.6791769094762892, 'GoogleSheetConsumer')","(0.6797469365234898, 'RenameCodebook')","(0.6798810539248121, 'Multivalued')","(0.6818881256376651, 'AnnotationServer')","(0.6836465611520531, 'CodebookUpdate')","(1, 'HTML')"
Update,"(5.8178061114419715e-08, 'Delete')","(8.991515927951682e-07, 'Create')","(0.000342214672676013, 'UserFilter')","(0.1123487758001632, 'DeleteAll')","(0.15844677529113033, 'JSON')","(0.22955351215223524, 'ImportAnnotations')","(0.42355598878489675, 'Remote')","(0.4454618139623798, 'Neo4J')","(0.4607410293742399, 'Replying')","(0.48847721748122336, 'Autocomplete')","(0.49737667806961294, 'ImportCodebook')","(0.5195851474843665, 'AnnotatedPDF')","(0.535777806469943, 'SidebarNavigation')","(0.5373418794987815, 'BuiltIn')","(0.5389113167066326, 'MoodleReport')","(0.5670736968089576, 'Selector')","(0.5956510361765424, 'CodebookDelete')","(0.6019733162016732, 'ApplicationBased')","(0.6215864881446987, 'ACM')","(0.6215864881446987, 'URL')","(0.628146154776148, 'MoodleResource')","(0.6365378157920611, 'PreviousAssignments')","(0.6421759284235158, 'ExportCodebook')","(0.6598689426644015, 'MoodleResourceBased')","(0.659868942664402, 'Alphabetical')","(0.659868942664402, 'Number')","(0.663387795840531, 'WebAnnotationClient')","(0.6694012420564011, 'Date')","(0.6706671247026659, 'HTML')","(0.67424740371655, 'PDF')","(0.6758177399019221, 'Export')","(0.6784231224304478, 'TXT')","(0.6789192503624677, 'Canvas')","(0.6790395457298724, 'Assessing')","(0.6794203625896953, 'LastAnnotation')","(0.6801927121930882, 'URN')","(0.6802540801679112, 'SentimentAnalysis')","(0.6803567097591257, 'MoodleComment')","(0.6807616666927913, 'Categorize')","(0.680856809825521, 'AnnotationList')","(0.6812508358918532, 'TextSummary')","(0.682674793690045, 'Dropbox')","(0.6837814006133629, 'Commenting')","(0.6843561079722041, 'SuggestedLiterature')","(0.6848011614415417, 'DOI')","(0.6850887648870518, 'MoodleConsumer')","(0.6851988421722451, 'ScienceDirect')","(0.6860944791040595, 'Springer')","(0.687249126855074, 'Classifying')","(0.6879229350181087, 'Codebook')","(0.6879755893103341, 'Hypothesis')","(0.6882559735864373, 'BrowserStorage')","(0.6882721356181833, 'Hosting')","(0.6884355442450425, 'GoogleSheetProvider')","(0.6891779906888909, 'Hierarchy')","(0.6893558640838485, 'GoogleSheetConsumer')","(0.6894876517491362, 'Manual')","(0.6895889366896761, 'RenameCodebook')","(0.6896447447330173, 'Multivalued')","(0.6899226480751592, 'MoodleProvider')","(0.6905315383785451, 'AnnotationServer')","(0.6914138865988926, 'CodebookUpdate')","(1, 'Update')"
Hypothesis,"(0.09257915506967337, 'AnnotationServer')","(0.1194651310113345, 'WebAnnotationClient')","(0.18127748115639286, 'Neo4J')","(0.23179250268857127, 'ScienceDirect')","(0.24803070483055745, 'Remote')","(0.3037601212563783, 'DOI')","(0.3499080783204626, 'ApplicationBased')","(0.39306055468369205, 'GoogleSheetProvider')","(0.41029080860647577, 'SuggestedLiterature')","(0.4260526478701834, 'TXT')","(0.42650785008549996, 'PDF')","(0.4337144705411811, 'Categorize')","(0.43397420998852076, 'BuiltIn')","(0.43582025714260614, 'AnnotationList')","(0.448044438936124, 'Hosting')","(0.4506096733290351, 'Codebook')","(0.4562369386438918, 'Replying')","(0.459822294898355, 'LastAnnotation')","(0.48472681500501624, 'Dropbox')","(0.4889426229820743, 'MoodleProvider')","(0.4934315994266316, 'Autocomplete')","(0.5133706006454708, 'Manual')","(0.5139860010776545, 'MoodleResource')","(0.5207312549112288, 'URN')","(0.5274273787563145, 'Assessing')","(0.5280992362354594, 'Selector')","(0.5291878569963864, 'BrowserStorage')","(0.531192740574457, 'Commenting')","(0.5314999269737499, 'Canvas')","(0.538113393403651, 'Springer')","(0.5466674809281213, 'PreviousAssignments')","(0.5533189857675009, 'TextSummary')","(0.5538460924699584, 'ACM')","(0.5538460924699584, 'URL')","(0.5657175601634692, 'AnnotatedPDF')","(0.5733783744442267, 'JSON')","(0.5758585252630413, 'ImportCodebook')","(0.5811736934852474, 'Classifying')","(0.5932299560866165, 'MoodleReport')","(0.5982075653218459, 'HTML')","(0.599789790601158, 'SidebarNavigation')","(0.6148329065095753, 'ImportAnnotations')","(0.6165246137091887, 'DeleteAll')","(0.6184240560133292, 'GoogleSheetConsumer')","(0.6388266687215872, 'MoodleResourceBased')","(0.6388266687215882, 'Alphabetical')","(0.6388266687215882, 'Number')","(0.651616601903462, 'MoodleConsumer')","(0.6524595647231304, 'Hierarchy')","(0.6598232575138228, 'Date')","(0.6726732764195886, 'Export')","(0.6806188358850385, 'SentimentAnalysis')","(0.6808519421357793, 'MoodleComment')","(0.6879755893103341, 'Update')","(0.6880006042975966, 'Delete')","(0.6880737413776177, 'Create')","(0.6898073473384152, 'UserFilter')","(0.6907285684152855, 'ExportCodebook')","(0.690735282384199, 'CodebookDelete')","(0.6907385170104325, 'RenameCodebook')","(0.6907824470705787, 'Multivalued')","(0.6921487188373996, 'CodebookUpdate')","(1, 'Hypothesis')"
